,taxonUUID,tfNameCode,taxonRank,scientificName,TT_speciesKey
71000,a6b49d4c-2215-4b60-b449-361c22af1894,C303120303050402050549012000100014000,species,Camellia trichoclada (Rehder) S.S.Chien,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Camellia-Camellia trichoclada (Rehder) S.S.Chien
71001,231d0572-8bf9-4ec0-9276-1f2e54da0982,C303120303050402050549012000100016000,species,Camellia chrysantha (Hu) Tuyama,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Camellia-Camellia chrysantha (Hu) Tuyama
71002,25c7baa1-44df-44ea-8dd5-054be15d49bb,C303120303050402050549012000100017000,species,Camellia lutchuensis T.Ito,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Camellia-Camellia lutchuensis T.Ito
71003,b22f1fc4-497b-4d29-96f8-bd97e852d3b3,C303120303050402050549012000100018000,species,Camellia oleifera Abel.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Camellia-Camellia oleifera Abel.
71004,8b5150cb-1f5d-4270-9870-c29b3c9d0f36,C303120303050402050549012000100019000,species,Camellia reticulata Lindl.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Camellia-Camellia reticulata Lindl.
71005,68073da5-1b36-4d26-be6d-ea18f503ae0c,C303120303050402050549012000100020000,species,Camellia sasanqua Thunb.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Camellia-Camellia sasanqua Thunb.
71006,2f1b518d-bf0d-4f00-9444-0d9f9e54ed26,C303120303050402050549012000200001000,species,Gordonia axillaris (Roxb.) Dietr.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Gordonia-Gordonia axillaris (Roxb.) Dietr.
71007,0287b54e-c3ad-40cd-a127-edb1f26196e1,C303120303050402050549012000300001000,species,"Pyrenaria buisanensis (Sasaki) C.F.Hsieh, Sheng Z.Yang & M.H.Su","Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Pyrenaria-Pyrenaria buisanensis (Sasaki) C.F.Hsieh, Sheng Z.Yang & M.H.Su"
71008,9e17e93a-7cf5-4f00-bdc3-5f4492614f53,C303120303050402050549012000300002000,species,Pyrenaria shinkoensis (Hayata) H.Keng,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Pyrenaria-Pyrenaria shinkoensis (Hayata) H.Keng
71009,60c3933a-6ea0-4816-a49d-74a9bf205f30,C303120303050402050549012000400001000,species,Schima superba Gard. & Champ.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Theaceae-Schima-Schima superba Gard. & Champ.
71010,9c293d3c-2f67-49a9-920d-c07d63ff70a8,C303120303050402050549013000100001000,species,Symplocos acuminata (Blume) Miq.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos acuminata (Blume) Miq.
71011,c7a64f99-37c1-4872-9218-165bd06f2d58,C303120303050402050549013000100002000,species,Symplocos arisanensis Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos arisanensis Hayata
71012,16bd5145-9289-4056-b3aa-821808f82c49,C303120303050402050549013000100003000,species,Symplocos caudata Wall. ex G.Don,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos caudata Wall. ex G.Don
71013,9726ad34-b3d0-42de-968a-eab5de4d5212,C303120303050402050549013000100004000,species,Symplocos chinensis (Lour.) Druce,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos chinensis (Lour.) Druce
71014,d2e081c5-8e16-48ed-aef9-79c7a0acc326,C303120303050402050549013000100005000,species,Symplocos cochinchinensis (Lour.) S.Moore,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos cochinchinensis (Lour.) S.Moore
71015,02416c27-875c-43f6-8ef3-adb1021e4597,C303120303050402050549013000100006000,species,Symplocos congesta Benth.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos congesta Benth.
71016,5fdaa988-bb0e-4d45-8dda-43291cf4a3a2,C303120303050402050549013000100007000,species,Symplocos decora Hance,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos decora Hance
71017,29d4479a-733e-48ff-af2c-28e08c9fdcfc,C303120303050402050549013000100008000,species,Symplocos eriostroma Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos eriostroma Hayata
71018,5bd1dae9-d18e-4174-b28f-1c40bc43491a,C303120303050402050549013000100009000,species,Symplocos formosana Brand,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos formosana Brand
71019,941e3656-68c2-445e-abba-5987126081c9,C303120303050402050549013000100010000,species,Symplocos glauca (Thunb.) Koidz.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos glauca (Thunb.) Koidz.
71020,5a596c21-2ff0-417e-a7e4-0768846475a6,C303120303050402050549013000100011000,species,Symplocos grandis Hand.-Mazz.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos grandis Hand.-Mazz.
71021,e175e0ec-be54-4f4a-b918-e002e5e7bb08,C303120303050402050549013000100012000,species,Symplocos heishanensis Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos heishanensis Hayata
71022,db61e60d-cde1-42f3-b38f-5171abbaf372,C303120303050402050549013000100013000,species,Symplocos juiyenensis C.C.Wang & C.H.Ou,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos juiyenensis C.C.Wang & C.H.Ou
71023,947f656f-c926-4ace-8504-d16ca47d479b,C303120303050402050549013000100014000,species,Symplocos konishii Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos konishii Hayata
71024,c05ac05f-7a0c-417b-a207-1b94c06c7241,C303120303050402050549013000100015000,species,Symplocos koshunensis Kaneh.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos koshunensis Kaneh.
71025,bbd8aa99-0ae6-436f-8a77-a3daacb8a7dd,C303120303050402050549013000100016000,species,Symplocos macrostroma Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos macrostroma Hayata
71026,96aa30ea-3d04-437e-84aa-9845c16a4c61,C303120303050402050549013000100017000,species,Symplocos migoi Nagam.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos migoi Nagam.
71027,b2bc4c42-adfa-410f-9bf2-9c2b9b795958,C303120303050402050549013000100018000,species,Symplocos modesta Brand,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos modesta Brand
71028,b5c3a091-966c-488e-bed8-4458c947437d,C303120303050402050549013000100019000,species,Symplocos morrisonicola Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos morrisonicola Hayata
71029,5ef7d470-f0f8-4231-99db-025a06ed3872,C303120303050402050549013000100020000,species,Symplocos nokoensis (Hayata) Kaneh.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos nokoensis (Hayata) Kaneh.
71030,249538fe-d781-4d04-bcba-cd6a0d66f159,C303120303050402050549013000100021000,species,Symplocos sasakii Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos sasakii Hayata
71031,9183b238-e4be-4631-ae08-49b4baa1008a,C303120303050402050549013000100022000,species,Symplocos setchuensis Brand,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos setchuensis Brand
71032,d83e4966-c69e-466d-a8bc-27838aa155d7,C303120303050402050549013000100023000,species,Symplocos shilanensis Y.C.Liu & F.Y.Lu.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos shilanensis Y.C.Liu & F.Y.Lu.
71033,c31f6b0f-aad2-4d1a-81be-0c39e5ae68df,C303120303050402050549013000100024000,species,Symplocos sonoharae Koidz.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos sonoharae Koidz.
71034,6a46d8c2-6b30-48bf-8d9c-114fffb23668,C303120303050402050549013000100025000,species,Symplocos stellaris Brand,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos stellaris Brand
71035,23a9b33c-3744-427e-8953-8460a891403e,C303120303050402050549013000100026000,species,Symplocos theophrastifolia Siebold & Zucc.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos theophrastifolia Siebold & Zucc.
71036,cb9e3876-4462-43a8-bfe7-55ffa3d9d0f7,C303120303050402050549013000100027000,species,Symplocos trichoclada Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos trichoclada Hayata
71037,44300027-9eb9-4eba-94e3-a3e0d3f2aca7,C303120303050402050549013000100028000,species,Symplocos wikstroemiifolia Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos wikstroemiifolia Hayata
71038,2ea3b57f-530c-4a32-a197-7435a29d0c68,C303120303050402050549013000100029000,species,Symplocos hualiensis S.S.Ying,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos hualiensis S.S.Ying
71039,0d5b2e37-6c1c-4b25-8a5a-eafe013359e8,C303120303050402050549013000100031000,species,Symplocos pendula Wight,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Symplocaceae-Symplocos-Symplocos pendula Wight
71040,28492608-1d73-454c-9b20-30f595be82fa,C303120303050402050549014000100001000,species,Shortia rotundifolia (Maxim.) Makino,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Diapensiaceae-Shortia-Shortia rotundifolia (Maxim.) Makino
71041,0d145d5d-513f-4336-b2a7-49bc63bd8682,C303120303050402050549015000100001000,species,Alniphyllum pterospermum Matsum.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Styracaceae-Alniphyllum-Alniphyllum pterospermum Matsum.
71042,ecc5eac4-ee54-4768-b878-2861bee28984,C303120303050402050549015000200001000,species,Styrax formosanus Matsum.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Styracaceae-Styrax-Styrax formosanus Matsum.
71043,a457cd9e-aa48-4646-a540-223d373f1ff2,C303120303050402050549015000200002000,species,Styrax japonicus Siebold & Zucc.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Styracaceae-Styrax-Styrax japonicus Siebold & Zucc.
71044,9aa502fd-f739-4e69-9d6c-693857c1006e,C303120303050402050549015000200003000,species,Styrax matsumurae Perkins,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Styracaceae-Styrax-Styrax matsumurae Perkins
71045,256a9e87-fcfb-40b6-8aaf-662f6a60065a,C303120303050402050549015000200004000,species,Styrax suberifolius Hook. & Arn.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Styracaceae-Styrax-Styrax suberifolius Hook. & Arn.
71046,e69b8158-8d91-4522-87e6-fc63a816abc7,C303120303050402050549016000100001000,species,Sarracenia leucophylla Raf.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Sarraceniaceae-Sarracenia-Sarracenia leucophylla Raf.
71047,efae5a15-19ac-48da-b2da-0498114ae076,C303120303050402050549018000100001000,species,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Actinidiaceae-Actinidia-Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.
71048,40377e4f-3065-45f8-814e-4698d4bbdbc6,C303120303050402050549018000100002000,species,Actinidia callosa Lindl.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Actinidiaceae-Actinidia-Actinidia callosa Lindl.
71049,749e9919-3381-475e-8886-d04eb96495be,C303120303050402050549018000100003000,species,Actinidia chinensis Planch.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Actinidiaceae-Actinidia-Actinidia chinensis Planch.
71050,c571f8fd-5723-416e-9205-71eadc0bb9ed,C303120303050402050549018000100004000,species,Actinidia latifolia (Gardn. & Champ.) Merr.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Actinidiaceae-Actinidia-Actinidia latifolia (Gardn. & Champ.) Merr.
71051,90422238-15f0-42ed-876f-cdfb1a732b07,C303120303050402050549018000100005000,species,Actinidia rufa (Siebold & Zucc.) Planch. ex Miq.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Actinidiaceae-Actinidia-Actinidia rufa (Siebold & Zucc.) Planch. ex Miq.
71052,8e81f9c6-f290-4a27-a946-74013a27a75d,C303120303050402050549018000200001000,species,Saurauia tristyla DC.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Actinidiaceae-Saurauia-Saurauia tristyla DC.
71053,fdb8b9e5-877b-47dc-a533-934d3b095411,C303120303050402050549021000100001000,species,Chimaphila japonica Miq.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Chimaphila-Chimaphila japonica Miq.
71054,f2d3fc45-89fc-448b-9705-2a9bccc89231,C303120303050402050549021000100002000,species,Chimaphila monticola H.Andr.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Chimaphila-Chimaphila monticola H.Andr.
71055,8f95d803-920b-48fe-8dfc-51ac08f96938,C303120303050402050549021000200001000,species,Enkianthus perulatus C.K.Schneid.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Enkianthus-Enkianthus perulatus C.K.Schneid.
71056,1707ef04-3b6d-43dd-b1b2-211a367e4d66,C303120303050402050549021000200002000,species,Enkianthus quinquefolius Lour.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Enkianthus-Enkianthus quinquefolius Lour.
71057,72d6bef5-9401-4c14-9549-6b3813cea43a,C303120303050402050549021000300001000,species,Gaultheria cumingiana Vidal,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Gaultheria-Gaultheria cumingiana Vidal
71058,322c214e-14a2-43ab-96f8-1919a290d4e3,C303120303050402050549021000300002000,species,Gaultheria itoana Hayata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Gaultheria-Gaultheria itoana Hayata
71059,f2609cdd-0d62-4ab5-8cd0-cd271447994d,C303120303050402050549021000400001000,species,Lyonia ovalifolia (Wall.) Drude,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Lyonia-Lyonia ovalifolia (Wall.) Drude
71060,7a29458d-3570-4d01-a848-f93d6874730e,C303120303050402050549021000500001000,species,Moneses uniflora (L.) A.Gray,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Moneses-Moneses uniflora (L.) A.Gray
71061,030a6654-05da-4fbf-a166-8c35d23cee78,C303120303050402050549021000600001000,species,Monotropa hypopithys L.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Monotropa-Monotropa hypopithys L.
