taxon_id,rank,parent_taxon_id,simple_name,alien_type,is_in_taiwan,protected,redlist,iucn,sensitive,groupID,reason,check_column,TC_URL
t0064226,Species,t0019981,Gallinago solitaria,native,TRUE,"","",LC,"",t0064226,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0064226
t0101078,Subspecies,t0064226,Gallinago solitaria japonica,native,TRUE,"","","","",t0064226,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101078
t0064796,Species,t0020250,Gorsachius melanolophus,native,TRUE,"",LC,LC,"",t0064796,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0064796
t0101080,Subspecies,t0064796,Gorsachius melanolophus melanolophus,native,TRUE,"",LC,"","",t0064796,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101080
t0066787,Species,t0021472,Lalage nigra,native,TRUE,"","",LC,"",t0066787,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0066787
t0101016,Subspecies,t0066787,Lalage nigra nigra,native,TRUE,"","","","",t0066787,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101016
t0067817,Species,t0021961,Locustella mandelli,native,TRUE,"","",LC,"",t0067817,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0067817
t0101022,Subspecies,t0067817,Locustella mandelli melanorhyncha,native,TRUE,"","","","",t0067817,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101022
t0068125,Species,t0022090,Lycodon rufozonatus,native,TRUE,"",LC,LC,"",t0068125,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0068125
t0102405,Subspecies,t0068125,Lycodon rufozonatus rufozonatus,native,TRUE,"",LC,"","",t0068125,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102405
t0068126,Species,t0022090,Lycodon ruhstrati,native,TRUE,"",LC,LC,"",t0068126,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0068126
t0102406,Subspecies,t0068126,Lycodon ruhstrati ruhstrati,native,TRUE,"",LC,"","",t0068126,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102406
t0069832,Species,t0025130,Youngia japonica,native,TRUE,"",LC,"","",t0069832,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0069832
t0069833,Subspecies,t0069832,Youngia japonica subsp. longiflora,native,TRUE,"",LC,"","",t0069832,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0069833
t0084635,Subspecies,t0069832,Youngia japonica subsp. formosana,native,TRUE,"",LC,"","",t0069832,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0084635
t0084636,Subspecies,t0069832,Youngia japonica subsp. japonica,native,TRUE,"",LC,"","",t0069832,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0084636
t0085104,Subspecies,t0069832,Youngia japonica subsp. monticola,native,TRUE,"","","","",t0069832,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0085104
t0069959,Species,t0009258,Acanthis flammea,native,TRUE,"","",LC,"",t0069959,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0069959
t0101110,Subspecies,t0069959,Acanthis flammea flammea,native,TRUE,"","","","",t0069959,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101110
t0070069,Species,t0009315,Achalinus formosanus,native,TRUE,"",LC,LC,"",t0070069,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0070069
t0102403,Subspecies,t0070069,Achalinus formosanus formosanus,native,TRUE,"",LC,"","",t0070069,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102403
t0070731,Species,t0009616,Alaudala cheleensis,native,TRUE,"","",LC,"",t0070731,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0070731
t0105433,Subspecies,t0070731,Alaudala cheleensis cheleensis,native,TRUE,"","","","",t0070731,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0105433
t0071796,Species,t0010096,Antigone canadensis,native,TRUE,II,"",LC,"",t0071796,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0071796
t0101118,Subspecies,t0071796,Antigone canadensis canadensis,native,TRUE,II,"","","",t0071796,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101118
t0072176,Species,t0010297,Ardea intermedia,native,TRUE,"",LC,LC,"",t0072176,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0072176
t0101119,Subspecies,t0072176,Ardea intermedia intermedia,native,TRUE,"",LC,"","",t0072176,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101119
t0072951,Species,t0023345,Buxus microphylla,native,TRUE,"",LC,LC,"",t0072951,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0072951
t0084584,Subspecies,t0072951,Buxus microphylla subsp. sinica,native,TRUE,"",LC,"","",t0072951,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0084584
t0073215,Species,t0011820,Chloris sinica,native,TRUE,"",LC,LC,"",t0073215,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0073215
t0085451,Subspecies,t0073215,Chloris sinica sinica,native,TRUE,"",LC,"","",t0073215,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0085451
t0103443,Subspecies,t0073215,Chloris sinica kawarahiba,native,TRUE,"",LC,"","",t0073215,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0103443
t0053052,Subspecies,t0073294,Clematis parviloba subsp. bartlettii,native,TRUE,"",NT,"","",t0073294,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0053052
t0073294,Species,t0023510,Clematis parviloba,native,TRUE,"",NT,"","",t0073294,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0073294
t0105696,Subspecies,t0073294,Clematis parviloba subsp. shengzhenii,native,TRUE,"","","","",t0073294,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0105696
t0073450,Species,t0002793,Cordia aspera,native,TRUE,"",EN,LC,"",t0073450,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0073450
t0084591,Subspecies,t0073450,Cordia aspera subsp. kanehirai,native,TRUE,"",EN,"",輕度,t0073450,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0084591
t0058912,Subspecies,t0073609,Cyperus imbricatus subsp. elongatus,native,TRUE,"",LC,LC,"",t0073609,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0058912
t0073609,Species,t0023618,Cyperus imbricatus,native,TRUE,"",LC,LC,"",t0073609,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0073609
t0084592,Subspecies,t0073609,Cyperus imbricatus subsp. imbricatus,native,TRUE,"",LC,"","",t0073609,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0084592
t0073627,Species,t0023635,Daphniphyllum glaucescens,native,TRUE,"",LC,LC,"",t0073627,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0073627
t0084594,Subspecies,t0073627,Daphniphyllum glaucescens subsp. oldhamii,native,TRUE,"",LC,"","",t0073627,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0084594
t0073766,Species,t0023734,Dumasia villosa,"",TRUE,"",LC,LC,"",t0073766,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0073766
t0084596,Subspecies,t0073766,Dumasia villosa subsp. bicolor,native,TRUE,"",LC,"","",t0073766,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0084596
t0057989,Subspecies,t0074249,Helianthus debilis subsp. cucumerifolius,naturalized,TRUE,"",,"","",t0074249,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0057989
t0074249,Species,t0023976,Helianthus debilis,naturalized,TRUE,"",,LC,"",t0074249,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0074249
t0058149,Subspecies,t0074560,Lespedeza thunbergii subsp. formosa,native,TRUE,"",LC,"","",t0074560,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0058149
t0074560,Species,t0024154,Lespedeza thunbergii,native,TRUE,"",LC,DD,"",t0074560,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0074560
t0074985,Species,t0013361,Oenanthe deserti,native,TRUE,"","",LC,"",t0074985,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0074985
t0085999,Subspecies,t0074985,Oenanthe deserti oreophila,native,TRUE,"","","","",t0074985,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0085999
t0103447,Subspecies,t0074985,Oenanthe deserti atrogularis,native,TRUE,"","","","",t0074985,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0103447
t0074986,Species,t0013361,Oenanthe oenanthe,native,TRUE,"","",LC,"",t0074986,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0074986
t0086000,Subspecies,t0074986,Oenanthe oenanthe oenanthe,native,TRUE,"","","","",t0074986,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0086000
t0075485,Species,t0015272,Prunella collaris,native,TRUE,III,VU,LC,"",t0075485,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0075485
t0086160,Subspecies,t0075485,Prunella collaris fennelli,native,TRUE,III,VU,"","",t0075485,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0086160
t0075486,Species,t0024620,Prunella vulgaris,native,TRUE,"",LC,LC,"",t0075486,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0075486
t0084620,Subspecies,t0075486,Prunella vulgaris subsp. asiatica,native,TRUE,"",LC,"","",t0075486,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0084620
t0075866,Species,t0008970,Selaginella doederleinii,native,TRUE,"",LC,"","",t0075866,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0075866
t0084627,Subspecies,t0075866,Selaginella doederleinii subsp. doederleinii,native,TRUE,"",LC,"","",t0075866,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0084627
t0084628,Subspecies,t0075866,Selaginella doederleinii subsp. trachyphylla,native,TRUE,"",DD,"","",t0075866,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0084628
t0076154,Species,t0010677,Balaenoptera edeni,native,TRUE,I,"",LC,"",t0076154,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0076154
t0085321,Subspecies,t0076154,Balaenoptera edeni brydei,native,TRUE,I,"","","",t0076154,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0085321
t0077018,Species,t0011180,Calamaria pavimentata,native,TRUE,"",LC,LC,輕度,t0077018,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0077018
t0102404,Subspecies,t0077018,Calamaria pavimentata pavimentata,native,TRUE,"",LC,"","",t0077018,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0102404
t0078483,Species,t0011948,Circus aeruginosus,native,TRUE,II,"",LC,"",t0078483,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0078483
t0101098,Subspecies,t0078483,Circus aeruginosus aeruginosus,native,TRUE,II,"","","",t0078483,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101098
