taxonUUID,taxonRank,kingdom,simplifiedScientificName,scientificName,authorshipCheck,is_dup_global,is_dup_kingdom,is_dup_kingdom_author,is_dup_kingdom_author_rank,reason,number_of_occurrence,TT_URL
1645ffb5-62ee-4938-93ca-287ba5d3bee4,genus,Animalia,Japonia,<i>Japonia</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,40,https://taxatree.tbn.org.tw/taxa/1645ffb5-62ee-4938-93ca-287ba5d3bee4
37f0c327-4e6e-4dea-ba9f-61e3ea1da59e,species,Animalia,Ovophis makazayazaya,<i>Ovophis makazayazaya</i>,"(Takahashi, 1922)",TRUE,TRUE,TRUE,TRUE,學名重複,18,https://taxatree.tbn.org.tw/taxa/37f0c327-4e6e-4dea-ba9f-61e3ea1da59e
228b1460-935d-4fb4-91aa-0e60b1a0202c,species,Animalia,Ficus variegata,<i>Ficus variegata</i>,"Roeding, 1798",TRUE,FALSE,FALSE,FALSE,學名重複,34,https://taxatree.tbn.org.tw/taxa/228b1460-935d-4fb4-91aa-0e60b1a0202c
6dbbc84d-3a32-46c5-9d72-b1d7663a76d2,species,Animalia,Ovophis makazayazaya,<i>Ovophis makazayazaya</i>,"(Takahashi, 1922)",TRUE,TRUE,TRUE,TRUE,學名重複,170,https://taxatree.tbn.org.tw/taxa/6dbbc84d-3a32-46c5-9d72-b1d7663a76d2
8e741640-6019-4545-b3ea-ba17029e8209,species,Animalia,Ormosia formosana,<i>Ormosia formosana</i>,"Edwards, 1921",TRUE,FALSE,FALSE,FALSE,學名重複,1,https://taxatree.tbn.org.tw/taxa/8e741640-6019-4545-b3ea-ba17029e8209
e4ea5b20-a54d-4306-a708-d96fc432a99b,species,Plantae,Selaginella circinalis,<i>Selaginella</i> <i>circinalis</i> (L.) C.Presl,(L.) C.Presl,TRUE,TRUE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/e4ea5b20-a54d-4306-a708-d96fc432a99b
ce8c5fa8-0847-4b8d-a927-69a1bb65c276,species,Plantae,Selaginella circinalis,<i>Selaginella</i> <i>circinalis</i> (L.) Spring,(L.) Spring,TRUE,TRUE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/ce8c5fa8-0847-4b8d-a927-69a1bb65c276
6b155a86-7faf-4f5f-a36c-2482215d0c03,species,Plantae,Tectaria multicaudata,<i>Tectaria</i> <i>multicaudata</i> Ching,Ching,TRUE,TRUE,FALSE,FALSE,學名重複,87,https://taxatree.tbn.org.tw/taxa/6b155a86-7faf-4f5f-a36c-2482215d0c03
78f3e5e2-89c2-403f-9565-209912eabc19,species,Plantae,Goodyera hachijoensis,<i>Goodyera</i> <i>hachijoensis</i> Yatabe,Yatabe,TRUE,TRUE,TRUE,TRUE,學名重複,70,https://taxatree.tbn.org.tw/taxa/78f3e5e2-89c2-403f-9565-209912eabc19
49e1543a-b205-4172-9b2a-037c2bbecb8f,species,Plantae,Ormosia formosana,<i>Ormosia</i> <i>formosana</i> Kaneh.,Kaneh.,TRUE,FALSE,FALSE,FALSE,學名重複,401,https://taxatree.tbn.org.tw/taxa/49e1543a-b205-4172-9b2a-037c2bbecb8f
71699cd4-689f-4dc7-8920-e946b9938634,species,Plantae,Ficus variegata,<i>Ficus</i> <i>variegata</i> Blume,Blume,TRUE,FALSE,FALSE,FALSE,學名重複,611,https://taxatree.tbn.org.tw/taxa/71699cd4-689f-4dc7-8920-e946b9938634
6923c747-dc10-4fc3-ac51-a7d8bb442db3,species,Plantae,Lysimachia remota,<i>Lysimachia</i> <i>remota</i> Petitm.,Petitm.,TRUE,TRUE,TRUE,FALSE,學名重複,207,https://taxatree.tbn.org.tw/taxa/6923c747-dc10-4fc3-ac51-a7d8bb442db3
35b6cb36-b0eb-4f2b-b488-1e96ec0dd975,infraspecies,Plantae,Lysimachia remota,<i>Lysimachia</i> var. <i>remota</i>,Petitm.,TRUE,TRUE,TRUE,FALSE,學名重複,40,https://taxatree.tbn.org.tw/taxa/35b6cb36-b0eb-4f2b-b488-1e96ec0dd975
5623551a-59fa-4b45-a01e-fa53657b7716,infraspecies,Plantae,Zeuxine strateumatica rupicola,<i>Zeuxine strateumatica</i> var. <i>rupicola</i> (Fukuy.) S.S.Ying,(L.) Schltr.-(Fukuy.) S.S.Ying,TRUE,TRUE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/5623551a-59fa-4b45-a01e-fa53657b7716
9711a88c-f488-4997-9572-cc49e81de6e6,infraspecies,Plantae,Zeuxine strateumatica rupicola,<i>Zeuxine strateumatica</i> f. <i>rupicola</i> (Fukuy.) T.Hashim.,(L.) Schltr.-(Fukuy.) T.Hashim.,TRUE,TRUE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/9711a88c-f488-4997-9572-cc49e81de6e6
0da0a81d-19df-43e7-8255-26576d93b2e6,species,Plantae,Begonia ×albopicta,<i>Begonia</i> <i>×albopicta</i> W.Bull,W.Bull,TRUE,TRUE,FALSE,FALSE,學名重複,3,https://taxatree.tbn.org.tw/taxa/0da0a81d-19df-43e7-8255-26576d93b2e6
2e7d8185-2c71-4c7e-8b54-4e783dda440e,genus,Plantae,Kurzia,<i>Kurzia</i>,G.Martens,TRUE,FALSE,FALSE,FALSE,學名重複,26,https://taxatree.tbn.org.tw/taxa/2e7d8185-2c71-4c7e-8b54-4e783dda440e
cf0a1ffc-0c9f-461a-8eda-394ee2d69290,genus,Plantae,Myurella,<i>Myurella</i>,Schimp.,TRUE,FALSE,FALSE,FALSE,學名重複,3,https://taxatree.tbn.org.tw/taxa/cf0a1ffc-0c9f-461a-8eda-394ee2d69290
