taxonUUID,taxonRank,parentUUID,simplifiedScientificName,kingdom,class,number_of_occurrence,TT_URL
8b1caab8-96e4-4d29-915f-74ca8af35402,family,870e1747-e887-4b0a-a854-6f846113ff1f,Butomaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/8b1caab8-96e4-4d29-915f-74ca8af35402
be23f68f-4bde-47c0-a7fb-8f8fd3096345,family,870e1747-e887-4b0a-a854-6f846113ff1f,Scheuchzeriaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/be23f68f-4bde-47c0-a7fb-8f8fd3096345
5e36706b-6ea0-45c3-98ef-0c66268f3b4b,family,870e1747-e887-4b0a-a854-6f846113ff1f,Maundiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/5e36706b-6ea0-45c3-98ef-0c66268f3b4b
88108125-021a-4937-a52b-2f9bb3835082,family,870e1747-e887-4b0a-a854-6f846113ff1f,Posidoniaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/88108125-021a-4937-a52b-2f9bb3835082
1457e565-bb3a-49e4-ba47-b585888c1f87,family,de5a9b92-c36f-4f0d-ad95-228631f09ce2,Velloziaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/1457e565-bb3a-49e4-ba47-b585888c1f87
eeeb14dc-1c05-4038-8705-2ecc91b50156,family,fb79a6d5-78de-4a6d-8f94-c07ea52d120b,Campynemataceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/eeeb14dc-1c05-4038-8705-2ecc91b50156
259014cc-1da6-49c4-80e5-ebb1636a9771,family,fb79a6d5-78de-4a6d-8f94-c07ea52d120b,Corsiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/259014cc-1da6-49c4-80e5-ebb1636a9771
7502ad56-1baf-45e8-ae86-204bc9f83725,family,fb79a6d5-78de-4a6d-8f94-c07ea52d120b,Petermanniaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/7502ad56-1baf-45e8-ae86-204bc9f83725
c766b53d-24f6-4c6c-a138-a051b5f11372,family,fb79a6d5-78de-4a6d-8f94-c07ea52d120b,Philesiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/c766b53d-24f6-4c6c-a138-a051b5f11372
6895f2ee-03ff-4093-bf19-3df3725fbdc1,family,fb79a6d5-78de-4a6d-8f94-c07ea52d120b,Rhipogonaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/6895f2ee-03ff-4093-bf19-3df3725fbdc1
03875bc0-8db8-4050-aff3-b196be085183,family,eda6b5e2-24be-4132-9ecf-f4aa9199d4d6,Boryaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/03875bc0-8db8-4050-aff3-b196be085183
bf1aa64f-84d5-4431-9915-ffff8c56e6a8,family,eda6b5e2-24be-4132-9ecf-f4aa9199d4d6,Blandfordiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/bf1aa64f-84d5-4431-9915-ffff8c56e6a8
c643d108-c1a4-4594-9bfb-23a2aed8640f,family,eda6b5e2-24be-4132-9ecf-f4aa9199d4d6,Asteliaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/c643d108-c1a4-4594-9bfb-23a2aed8640f
53eaaa58-1e1d-45e5-aa5b-e3742af1b466,family,eda6b5e2-24be-4132-9ecf-f4aa9199d4d6,Lanariaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/53eaaa58-1e1d-45e5-aa5b-e3742af1b466
c9ea3ff9-c1be-4309-aa64-c1935ad22461,family,eda6b5e2-24be-4132-9ecf-f4aa9199d4d6,Doryanthaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/c9ea3ff9-c1be-4309-aa64-c1935ad22461
131e819f-65de-4cb6-8567-1ef6db77509b,family,eda6b5e2-24be-4132-9ecf-f4aa9199d4d6,Ixioliriaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/131e819f-65de-4cb6-8567-1ef6db77509b
ddae65a7-6bb6-4452-ba70-7e7b0a000240,family,eda6b5e2-24be-4132-9ecf-f4aa9199d4d6,Tecophilaeaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/ddae65a7-6bb6-4452-ba70-7e7b0a000240
a2a821c2-fe43-49ca-9bcf-bcbac62ea0a2,family,eda6b5e2-24be-4132-9ecf-f4aa9199d4d6,Xeronemataceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/a2a821c2-fe43-49ca-9bcf-bcbac62ea0a2
cc9136ac-3307-493c-84b0-ed26fe60f799,family,987b9788-f3ac-40d8-838f-a5fcaa633b1e,Hanguanaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/cc9136ac-3307-493c-84b0-ed26fe60f799
11be93dc-ea35-4f93-bbf4-3b268337d4f4,family,63d03bd6-3017-4969-908a-3cbbdc633fd0,Lowiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/11be93dc-ea35-4f93-bbf4-3b268337d4f4
1a4e060d-a350-4c9f-80c1-11079baf63bd,family,e0670fd3-4df9-4f67-aa4e-14a695872c21,Rapateaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/1a4e060d-a350-4c9f-80c1-11079baf63bd
6eeaeb63-845f-4e81-bb3d-eba12b989a96,family,e0670fd3-4df9-4f67-aa4e-14a695872c21,Mayacaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/6eeaeb63-845f-4e81-bb3d-eba12b989a96
8e5f66a3-d5ee-40b9-b808-fc13844af03d,family,e0670fd3-4df9-4f67-aa4e-14a695872c21,Thurniaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/8e5f66a3-d5ee-40b9-b808-fc13844af03d
02ceb79a-29ee-4f7f-a7bc-072a0d8ce766,family,e0670fd3-4df9-4f67-aa4e-14a695872c21,Joinvilleaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/02ceb79a-29ee-4f7f-a7bc-072a0d8ce766
c025146d-9c3c-4771-844c-4e55c1cb0fa5,family,e0670fd3-4df9-4f67-aa4e-14a695872c21,Ecdeiocoleaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/c025146d-9c3c-4771-844c-4e55c1cb0fa5
56b391ea-4a6c-46b4-b91f-ea146568b89d,family,6a9c39a0-1a84-4057-a8bb-df67452c2ec1,Eupteleaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/56b391ea-4a6c-46b4-b91f-ea146568b89d
d487adb6-22a3-4ef2-bd91-69bae35386bd,family,6a9c39a0-1a84-4057-a8bb-df67452c2ec1,Circaeasteraceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/d487adb6-22a3-4ef2-bd91-69bae35386bd
1b13dfde-b961-4a76-a6c2-0bf825dc1122,family,e9f4a72d-5067-4ce0-a3bd-3e6055fa1fdf,Myrothamnaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/1b13dfde-b961-4a76-a6c2-0bf825dc1122
73f6354f-5c01-43a4-b619-939a620d6dea,family,e9f4a72d-5067-4ce0-a3bd-3e6055fa1fdf,Gunneraceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/73f6354f-5c01-43a4-b619-939a620d6dea
eff30265-8d09-4ce5-b290-c18cca1fc440,family,026abcfc-acef-48a0-86bf-e69feb2d2834,Peridiscaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/eff30265-8d09-4ce5-b290-c18cca1fc440
be903842-5cfc-440b-b872-3afcb2445ec9,family,026abcfc-acef-48a0-86bf-e69feb2d2834,Cercidiphyllaceae,Plantae,Spermatopsida,2,https://taxatree.tbn.org.tw/taxa/be903842-5cfc-440b-b872-3afcb2445ec9
