taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,groupID,reason,check_column,filtered_values,number_of_occurrence,TT_URL
00a1ecf8-7c15-4f80-959a-2e92a4c27127,infraspecies,3b6cd76e-f658-4cc7-9625-ba0aeaa8d576,Plantae,Bulbophyllum electrinum sui,原生 Native,"","易危（VU, Vulnerable）","",3b6cd76e-f658-4cc7-9625-ba0aeaa8d576,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;易危（VU, Vulnerable）",1,https://taxatree.tbn.org.tw/taxa/00a1ecf8-7c15-4f80-959a-2e92a4c27127
46c31206-0608-473c-91a5-a32c9c4a7e2d,species,1a530047-bc28-401c-98a5-b1e391201d68,Plantae,Mitrastemon yamamotoi,原生 Native,"","","",46c31206-0608-473c-91a5-a32c9c4a7e2d,國內紅皮書不同,categoryRedlistTW,"易危（VU, Vulnerable）;瀕危（EN, Endangered）",231,https://taxatree.tbn.org.tw/taxa/46c31206-0608-473c-91a5-a32c9c4a7e2d
1297085a-feeb-43fb-be3e-18ad581b343d,infraspecies,46c31206-0608-473c-91a5-a32c9c4a7e2d,Plantae,Mitrastemon yamamotoi yamamotoi,原生 Native,"","易危（VU, Vulnerable）","",46c31206-0608-473c-91a5-a32c9c4a7e2d,國內紅皮書不同,categoryRedlistTW,"易危（VU, Vulnerable）;瀕危（EN, Endangered）",47,https://taxatree.tbn.org.tw/taxa/1297085a-feeb-43fb-be3e-18ad581b343d
898999d1-60d0-451b-9974-c8ac9653d828,infraspecies,46c31206-0608-473c-91a5-a32c9c4a7e2d,Plantae,Mitrastemon yamamotoi kanehirae,原生 Native,"","瀕危（EN, Endangered）","",46c31206-0608-473c-91a5-a32c9c4a7e2d,國內紅皮書不同,categoryRedlistTW,"易危（VU, Vulnerable）;瀕危（EN, Endangered）",17,https://taxatree.tbn.org.tw/taxa/898999d1-60d0-451b-9974-c8ac9653d828
585daeb3-dafb-4b3d-96c1-7b2bc7cecb3f,species,a9437a57-ee62-41ef-b289-eae793b55fce,Plantae,Epithema taiwanensis,原生 Native,"","","",585daeb3-dafb-4b3d-96c1-7b2bc7cecb3f,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;易危（VU, Vulnerable）",58,https://taxatree.tbn.org.tw/taxa/585daeb3-dafb-4b3d-96c1-7b2bc7cecb3f
0690d892-7044-48fb-90ae-238b105282a5,infraspecies,585daeb3-dafb-4b3d-96c1-7b2bc7cecb3f,Plantae,Epithema taiwanensis taiwanensis,原生 Native,"","瀕危（EN, Endangered）","",585daeb3-dafb-4b3d-96c1-7b2bc7cecb3f,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;易危（VU, Vulnerable）",8,https://taxatree.tbn.org.tw/taxa/0690d892-7044-48fb-90ae-238b105282a5
8d9442dd-575e-4b6c-ab28-79096076a913,infraspecies,585daeb3-dafb-4b3d-96c1-7b2bc7cecb3f,Plantae,Epithema taiwanensis fasciculata,原生 Native,"","易危（VU, Vulnerable）","",585daeb3-dafb-4b3d-96c1-7b2bc7cecb3f,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;易危（VU, Vulnerable）",22,https://taxatree.tbn.org.tw/taxa/8d9442dd-575e-4b6c-ab28-79096076a913
593f7c14-4de1-4acb-a71a-0db2a1305e85,species,a5247a8b-3263-4519-afbe-2e894456a0a6,Plantae,Hemipilia takasagomontana,原生 Native,"","易危（VU, Vulnerable）","",593f7c14-4de1-4acb-a71a-0db2a1305e85,國內紅皮書不同,categoryRedlistTW,"易危（VU, Vulnerable）;接近受脅（NT, Near Threatened）",66,https://taxatree.tbn.org.tw/taxa/593f7c14-4de1-4acb-a71a-0db2a1305e85
0b2b5bb2-30b3-45d3-a5d8-ba4cd142f52b,infraspecies,593f7c14-4de1-4acb-a71a-0db2a1305e85,Plantae,Hemipilia takasagomontana taitungensis,原生 Native,"","接近受脅（NT, Near Threatened）","",593f7c14-4de1-4acb-a71a-0db2a1305e85,國內紅皮書不同,categoryRedlistTW,"易危（VU, Vulnerable）;接近受脅（NT, Near Threatened）",27,https://taxatree.tbn.org.tw/taxa/0b2b5bb2-30b3-45d3-a5d8-ba4cd142f52b
ada9443f-e339-4a1b-8f56-74da348cd55a,infraspecies,593f7c14-4de1-4acb-a71a-0db2a1305e85,Plantae,Hemipilia takasagomontana takasagomontana,原生 Native,"","","",593f7c14-4de1-4acb-a71a-0db2a1305e85,國內紅皮書不同,categoryRedlistTW,"易危（VU, Vulnerable）;接近受脅（NT, Near Threatened）",0,https://taxatree.tbn.org.tw/taxa/ada9443f-e339-4a1b-8f56-74da348cd55a
5c519ab5-bca0-4e0d-8566-00d1b4cc6bfd,species,23a03a09-f42f-41ae-b450-6328c097b444,Plantae,Erythrodes triantherae,原生 Native,"","","",5c519ab5-bca0-4e0d-8566-00d1b4cc6bfd,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;資料缺乏（DD, Data Deficient）",9,https://taxatree.tbn.org.tw/taxa/5c519ab5-bca0-4e0d-8566-00d1b4cc6bfd
80a745fe-e030-410e-87cd-3bc6a0943b62,infraspecies,5c519ab5-bca0-4e0d-8566-00d1b4cc6bfd,Plantae,Erythrodes triantherae triantherae,原生 Native,"","瀕危（EN, Endangered）","",5c519ab5-bca0-4e0d-8566-00d1b4cc6bfd,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;資料缺乏（DD, Data Deficient）",1,https://taxatree.tbn.org.tw/taxa/80a745fe-e030-410e-87cd-3bc6a0943b62
6519190e-ca21-4fe6-beba-efcfe5f82587,infraspecies,5c519ab5-bca0-4e0d-8566-00d1b4cc6bfd,Plantae,Erythrodes triantherae ecalcarata,原生 Native,"","資料缺乏（DD, Data Deficient）","",5c519ab5-bca0-4e0d-8566-00d1b4cc6bfd,國內紅皮書不同,categoryRedlistTW,"瀕危（EN, Endangered）;資料缺乏（DD, Data Deficient）",0,https://taxatree.tbn.org.tw/taxa/6519190e-ca21-4fe6-beba-efcfe5f82587
a4365854-bf0d-4620-916e-a162aea70b3e,species,337ccb9c-1573-4a36-a69d-c123a7d31c55,Plantae,Mucuna gigantea,原生 Native,"","極危（CR, Critically Endangered）","",a4365854-bf0d-4620-916e-a162aea70b3e,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;未評估（NE, Not Evaluated）",102,https://taxatree.tbn.org.tw/taxa/a4365854-bf0d-4620-916e-a162aea70b3e
957e360d-c23c-4f08-a008-d9f57991bac5,infraspecies,a4365854-bf0d-4620-916e-a162aea70b3e,Plantae,Mucuna gigantea tashiroi,原生 Native,"","極危（CR, Critically Endangered）","",a4365854-bf0d-4620-916e-a162aea70b3e,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;未評估（NE, Not Evaluated）",66,https://taxatree.tbn.org.tw/taxa/957e360d-c23c-4f08-a008-d9f57991bac5
335c860b-2aee-4ad8-8c5d-d49b73c2ddfb,infraspecies,a4365854-bf0d-4620-916e-a162aea70b3e,Plantae,Mucuna gigantea gigantea,境外 Overseas,"","未評估（NE, Not Evaluated）","",a4365854-bf0d-4620-916e-a162aea70b3e,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;未評估（NE, Not Evaluated）",0,https://taxatree.tbn.org.tw/taxa/335c860b-2aee-4ad8-8c5d-d49b73c2ddfb
c325e7eb-cf8f-4654-b9da-e4318622dafa,species,5b29966d-5995-4cde-811b-226b6fa9b8d4,Plantae,Gastrodia fontinalis,原生 Native,"","","",c325e7eb-cf8f-4654-b9da-e4318622dafa,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;易危（VU, Vulnerable）",26,https://taxatree.tbn.org.tw/taxa/c325e7eb-cf8f-4654-b9da-e4318622dafa
f9727063-80bb-473b-a408-1ecaf4e268c4,infraspecies,c325e7eb-cf8f-4654-b9da-e4318622dafa,Plantae,Gastrodia fontinalis fontinalis,原生 Native,"","極危（CR, Critically Endangered）","",c325e7eb-cf8f-4654-b9da-e4318622dafa,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;易危（VU, Vulnerable）",0,https://taxatree.tbn.org.tw/taxa/f9727063-80bb-473b-a408-1ecaf4e268c4
63651b5f-1110-4378-8fb9-03a8b24ff8ed,infraspecies,c325e7eb-cf8f-4654-b9da-e4318622dafa,Plantae,Gastrodia fontinalis suburceolata,原生 Native,"","易危（VU, Vulnerable）","",c325e7eb-cf8f-4654-b9da-e4318622dafa,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;易危（VU, Vulnerable）",0,https://taxatree.tbn.org.tw/taxa/63651b5f-1110-4378-8fb9-03a8b24ff8ed
c670aa71-b61f-49a4-a01e-f4119f52e7d1,species,0ab586a2-5000-41a9-8dd3-84787290ef64,Plantae,Isoetes taiwanensis,原生 Native,"","極危（CR, Critically Endangered）","",c670aa71-b61f-49a4-a01e-f4119f52e7d1,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;未評估（NE, Not Evaluated）",67,https://taxatree.tbn.org.tw/taxa/c670aa71-b61f-49a4-a01e-f4119f52e7d1
561056b8-745d-4f86-937f-47d6b4bc945b,infraspecies,c670aa71-b61f-49a4-a01e-f4119f52e7d1,Plantae,Isoetes taiwanensis kinmenensis,原生 Native,"","未評估（NE, Not Evaluated）","",c670aa71-b61f-49a4-a01e-f4119f52e7d1,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;未評估（NE, Not Evaluated）",7,https://taxatree.tbn.org.tw/taxa/561056b8-745d-4f86-937f-47d6b4bc945b
c6ed1d00-87d9-43be-a901-7e9eba1a8f76,species,12d07662-bff5-4a18-8f2c-bc93343e0df8,Plantae,Rosa bracteata,原生 Native,"","","",c6ed1d00-87d9-43be-a901-7e9eba1a8f76,國內紅皮書不同,categoryRedlistTW,"易危（VU, Vulnerable）;資料缺乏（DD, Data Deficient）",422,https://taxatree.tbn.org.tw/taxa/c6ed1d00-87d9-43be-a901-7e9eba1a8f76
e1cbd766-164c-4573-8855-f48588fd27c9,infraspecies,c6ed1d00-87d9-43be-a901-7e9eba1a8f76,Plantae,Rosa bracteata bracteata,原生 Native,"","易危（VU, Vulnerable）","",c6ed1d00-87d9-43be-a901-7e9eba1a8f76,國內紅皮書不同,categoryRedlistTW,"易危（VU, Vulnerable）;資料缺乏（DD, Data Deficient）",85,https://taxatree.tbn.org.tw/taxa/e1cbd766-164c-4573-8855-f48588fd27c9
