taxonUUID,taxonRank,simplifiedScientificName,endemism,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,sensitiveCategory,reason,TT_URL
449bae86-b489-4a41-a1bb-cf612c74ccaf,species,Solosympodiella phyllostachydis,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/449bae86-b489-4a41-a1bb-cf612c74ccaf
9462dfe8-6d62-4b59-93eb-267fdf295b35,species,Speiropsis pedatospora,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/9462dfe8-6d62-4b59-93eb-267fdf295b35
a4b6a45f-acb8-4f5d-8a9f-42b5c3ba827e,species,Stachybotrys chartarum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/a4b6a45f-acb8-4f5d-8a9f-42b5c3ba827e
cc225914-5ce4-4302-887b-dbd5d33516d6,species,Stilbella buloloensis,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/cc225914-5ce4-4302-887b-dbd5d33516d6
4e8ecfa3-969e-4f91-a448-5fd88310e942,species,Stilbella jaapii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/4e8ecfa3-969e-4f91-a448-5fd88310e942
c6e10b47-c03d-4b2b-beed-d00f99fb1078,species,Ophiocordyceps buquetii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/c6e10b47-c03d-4b2b-beed-d00f99fb1078
e71e06e6-b54a-43c7-8b50-e72ee0cab5a3,species,Glomerella cinnamomi,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/e71e06e6-b54a-43c7-8b50-e72ee0cab5a3
e90ab2a7-68a5-4dee-bc25-a614cb30bbbb,species,Glomerella gossypii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/e90ab2a7-68a5-4dee-bc25-a614cb30bbbb
f0c52a6a-4ca7-47c1-b445-c54f29461cbb,species,Glomerella mori,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/f0c52a6a-4ca7-47c1-b445-c54f29461cbb
5495858a-fe92-454c-b7d9-444062a3e8bb,species,Glomerella stephaniae,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/5495858a-fe92-454c-b7d9-444062a3e8bb
7252aa21-5eba-4a38-8a36-30ccf5d19bf5,species,Coprotus glaucellus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/7252aa21-5eba-4a38-8a36-30ccf5d19bf5
d2469321-6db9-475d-bed6-4acbaa11fd26,species,Coprotus leucopocillum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/d2469321-6db9-475d-bed6-4acbaa11fd26
4a2238f9-8a61-4930-a3fb-1d3fa898b5c6,species,Coprotus marginatus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/4a2238f9-8a61-4930-a3fb-1d3fa898b5c6
12cb5645-0d5c-42e6-a6be-d8720c5787ad,species,Coprotus niveus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/12cb5645-0d5c-42e6-a6be-d8720c5787ad
3972526e-9a41-41f5-904f-cdf5f26ce4b8,species,Coprotus ochraceus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/3972526e-9a41-41f5-904f-cdf5f26ce4b8
75e8fc05-318b-4153-b478-43ecb0c88b63,species,Coprotus sexdecimsporus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/75e8fc05-318b-4153-b478-43ecb0c88b63
002fbff7-6171-4c28-b8e4-bf9492190b02,species,Coprotus uncinatus,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/002fbff7-6171-4c28-b8e4-bf9492190b02
6575bf99-62d8-4bc5-a3d1-c89af2345353,species,Lasiobolus cuniculi,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/6575bf99-62d8-4bc5-a3d1-c89af2345353
