TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_taxon_status,TC_is_in_taiwan
8825e9f3-62fa-47b8-b533-2d06ed421713,class,Animalia,t0002895,Inarticulata,class,Animalia,accepted,FALSE
5481263f-dbae-412c-a182-9f273cc72683,order,Animalia,t0001889,Hadromerida,order,Animalia,accepted,TRUE
c27ab022-ea72-40d3-b39c-dea88357f3d2,order,Animalia,t0001890,Halichondrida,order,Animalia,accepted,TRUE
25c0da45-c7da-412a-a5bc-9267c62baeea,order,Animalia,t0001667,Agelasida,order,Animalia,accepted,TRUE
676739ff-415f-4890-bc5b-7a64f18dc0d4,order,Animalia,t0002085,Poecilosclerida,order,Animalia,accepted,TRUE
d6f45f92-bdda-419e-8745-b42d2482f919,order,Animalia,t0001768,Chondrosida,order,Animalia,accepted,TRUE
e82c2962-f1a7-498b-a3bd-a70b7dc7b13f,order,Animalia,t0002172,Spirophorida,order,Animalia,accepted,TRUE
9ec62a2f-11c0-476f-a01f-1da7d42c240e,order,Animalia,t0001821,Dictyoceratida,order,Animalia,accepted,TRUE
f89f512d-e53c-41c1-8184-2dcbf8700f0b,order,Animalia,t0001710,Astrophorida,order,Animalia,accepted,TRUE
580132b1-bd7f-4c37-89a7-3548ea353b26,order,Animalia,t0001910,Homosclerophorida,order,Animalia,accepted,TRUE
c5c317b9-31d3-4653-88e3-db2b941b1750,order,Animalia,t0002237,Verongida,order,Animalia,accepted,TRUE
201aad5f-9f1b-4d48-addc-dcff4f501f09,order,Animalia,t0001949,Lithistida,order,Animalia,accepted,TRUE
564e45c9-7f85-40e4-a58d-c1ce6e57ca5a,order,Animalia,t0001776,Clathrinida,order,Animalia,accepted,TRUE
94c9718f-53e0-4a23-abe6-970931ff3b21,order,Animalia,t0002224,Trombidiformes,order,Animalia,accepted,TRUE
0cae7204-161f-4c73-b52e-ed91c57727cf,order,Animalia,t0002131,Sarcoptiformes,order,Animalia,accepted,TRUE
b9b3a3b3-b8ce-4cd0-9c03-5f2dd7279f6e,order,Animalia,t0001697,Araneae,order,Animalia,accepted,TRUE
6130b3b1-848c-45d3-a9d6-0c0ae1c31dc3,order,Animalia,t0001975,Mesostigmata,order,Animalia,accepted,TRUE
d520295c-35dd-4dd4-9188-23a2b0ca3fa1,order,Animalia,t0001920,Ixodida,order,Animalia,accepted,TRUE
74b67d38-97c1-45b3-ab4d-e1383daa98aa,order,Animalia,t0002134,Schizomida,order,Animalia,accepted,TRUE
ac0682fe-d65b-4d56-a1bc-2e53cba7b05b,order,Animalia,t0001673,Amblypygi,order,Animalia,accepted,TRUE
86247dac-5ffa-4730-a6c5-9ab3eeedfdd8,order,Animalia,t0002107,Pseudoscorpiones,order,Animalia,accepted,TRUE
d99fdca4-0099-45c8-9500-c8d27560bd1d,order,Animalia,t0002029,Opiliones,order,Animalia,accepted,TRUE
5f5ed2e8-e428-40b6-962a-19d1f99aef5f,order,Animalia,t0002139,Scorpiones,order,Animalia,accepted,TRUE
42261f58-ff9d-458c-abfd-af5580fa82b0,order,Animalia,t0002232,Uropygi,order,Animalia,accepted,TRUE
2ccb3357-f376-4593-9e66-5b7e740bdc66,order,Animalia,t0002083,Podocopida,order,Animalia,accepted,TRUE
f2a5ddc6-af8d-4747-92e7-2249a2e4fa1e,order,Animalia,t0001891,Halocyprida,order,Animalia,accepted,TRUE
ef7d4f7b-6b45-443f-82ca-7c77d0893bf6,order,Animalia,t0001999,Myodocopida,order,Animalia,accepted,TRUE
ae244267-7648-49c1-9837-cb9b616538da,order,Animalia,t0001810,Decapoda,order,Animalia,accepted,TRUE
5dac49a6-e8be-4de9-b903-3f83f6aa7e89,order,Animalia,t0001680,Amphipoda,order,Animalia,accepted,TRUE
14ed0cff-f0cd-4b02-9faa-a0c800605be9,order,Animalia,t0002182,Stomatopoda,order,Animalia,accepted,TRUE
61898d93-3e4b-40fa-9142-b2cb7fc631ad,order,Animalia,t0001918,Isopoda,order,Animalia,accepted,TRUE
40f46e2f-b9dc-45b1-ac0a-2680a24bbb06,order,Animalia,t0002196,Tanaidacea,order,Animalia,accepted,TRUE
ade396e9-b70a-4e1a-9ebf-2631ee7b5d62,order,Animalia,t0001855,Euphausiacea,order,Animalia,accepted,TRUE
855d74f3-a536-4836-aef1-08b5191ff223,order,Animalia,t0003069,Mysidacea,order,Animalia,accepted,FALSE
49e7c14b-438f-4952-ac66-363d498040e1,order,Animalia,t0003024,Poecilostomatoida,order,Animalia,deleted,TRUE
e10d98fb-2f8f-4fdd-9f72-ada1e9a2e056,order,Animalia,t0001800,Cyclopoida,order,Animalia,accepted,TRUE
2b67e68e-9a70-4208-8d26-a21ca96ed894,order,Animalia,t0001733,Calanoida,order,Animalia,accepted,TRUE
9c3d62a5-1254-4257-aab1-322539e9ecb2,order,Animalia,t0001895,Harpacticoida,order,Animalia,accepted,TRUE
33a06981-7325-4e95-bc7f-31c778d042b9,order,Animalia,t0002147,Sessilia,order,Animalia,accepted,FALSE
05afcbaa-57cc-475b-aaa2-84f847a81a6a,order,Animalia,t0003082,Scalpelliiformes,order,Animalia,deleted,FALSE
7c8e0f7f-9cee-4932-a7ab-9cd96cf989b7,order,Animalia,t0002155,Siphonostomatoida,order,Animalia,accepted,TRUE
9338219a-f443-46b1-9f2d-635620956836,order,Animalia,t0002097,Porocephalida,order,Animalia,accepted,TRUE
feff7517-3774-4e88-a43c-0ecfd2bf74fe,order,Animalia,t0001979,Misophrioida,order,Animalia,accepted,TRUE
1a9d4828-9e32-4ff0-94a7-42b2df06b45d,order,Animalia,t0001988,Monstrilloida,order,Animalia,accepted,TRUE
72231a76-7027-4572-ab05-35e8ed39a647,order,Animalia,t0001990,Mormonilloida,order,Animalia,accepted,TRUE
f1ad5b1d-2fe7-4d1b-b83f-d349dcf3cd5c,order,Animalia,t0001923,Kentrogonida,order,Animalia,accepted,FALSE
381c9d62-c4ff-4d01-88ec-d825bd36d366,class,Animalia,t0000485,Collembola,class,Animalia,accepted,TRUE
