TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,taxon_id,taxon_status,simple_name,rank,kingdom
c90e0ef2-1813-4bc4-a392-70e274a8f2a6,infraspecies,Plantae,"",Tricyrtis formosana formosana,t0087096,deleted,Tricyrtis formosana var. formosana,Variety,Plantae
c90e0ef2-1813-4bc4-a392-70e274a8f2a6,infraspecies,Plantae,"",Tricyrtis formosana formosana,t0105631,deleted,Tricyrtis formosana fo. formosana,Form,Plantae
c123ef9f-1722-429c-9af8-0644d3bde1c5,infraspecies,Plantae,"",Tricyrtis formosana stolonifera,t0058450,accepted,Tricyrtis formosana,Species,Plantae
c123ef9f-1722-429c-9af8-0644d3bde1c5,infraspecies,Plantae,"",Tricyrtis formosana stolonifera,t0069687,deleted,Tricyrtis formosana,Species,Plantae
c123ef9f-1722-429c-9af8-0644d3bde1c5,infraspecies,Plantae,"",Tricyrtis formosana stolonifera,t0103552,deleted,Tricyrtis formosana var. stolonifera,Variety,Plantae
051f81c9-21e8-4336-841f-dea98a5c6b32,infraspecies,Plantae,"",Cymbidium lancifolium aspidistrifolium,t0058904,accepted,Cymbidium lancifolium var. aspidistrifolium,Variety,Plantae
95ef91aa-d02a-4560-a0f6-a67bac39a98d,infraspecies,Plantae,"",Goodyera similis albonervosa,t0086843,accepted,Goodyera similis fo. albonervosa,Form,Plantae
5623551a-59fa-4b45-a01e-fa53657b7716,infraspecies,Plantae,"",Zeuxine strateumatica rupicola,t0057517,accepted,Zeuxine strateumatica var. strateumatica,Variety,Plantae
5623551a-59fa-4b45-a01e-fa53657b7716,infraspecies,Plantae,"",Zeuxine strateumatica rupicola,t0102295,accepted,Zeuxine strateumatica var. rupicola,Variety,Plantae
9711a88c-f488-4997-9572-cc49e81de6e6,infraspecies,Plantae,"",Zeuxine strateumatica rupicola,t0057517,accepted,Zeuxine strateumatica var. strateumatica,Variety,Plantae
9711a88c-f488-4997-9572-cc49e81de6e6,infraspecies,Plantae,"",Zeuxine strateumatica rupicola,t0102295,accepted,Zeuxine strateumatica var. rupicola,Variety,Plantae
10da2525-8cff-4e84-9708-7d8e5cc0d236,infraspecies,Plantae,"",Carex gentilis nakaharae,t0087360,accepted,Carex gentilis var. nakaharae,Variety,Plantae
a93e85dd-8367-4428-a2ae-fa68216d4816,infraspecies,Plantae,"",Carex grallatoria heteroclita,t0058727,accepted,Carex grallatoria var. heteroclita,Variety,Plantae
74629838-deec-4237-bea7-6ffe30f80bb9,infraspecies,Plantae,"",Carex mitrata aristata,t0087361,accepted,Carex mitrata var. aristata,Variety,Plantae
b5fcc002-9d42-4231-a773-a9104e39a41e,infraspecies,Plantae,"",Carex tristachya pocilliformis,t0058731,accepted,Carex tristachya var. pocilliformis,Variety,Plantae
e2e6e4dc-5f4f-40c4-ae3e-adbe2f1d9565,infraspecies,Plantae,"",Cyperus nutans subprolixus,t0085096,accepted,Cyperus nutans subsp. subprolixus,Subspecies,Plantae
ddb257c3-4838-4eeb-98a8-c267493d98e2,infraspecies,Plantae,"",Eleocharis congesta japonica,t0057314,accepted,Eleocharis congesta subsp. japonica,Subspecies,Plantae
d61a8fdf-48b6-4696-b5ba-12d6843753c4,infraspecies,Plantae,"",Spodiopogon tainanensis hogoensis,t0055441,accepted,Spodiopogon tainanensis,Species,Plantae
510aee5c-3b37-4569-91fd-76a093fb3d98,infraspecies,Plantae,"",Spodiopogon tainanensis takeoi,t0055441,accepted,Spodiopogon tainanensis,Species,Plantae
2f4d4a4a-a1b9-4d13-8db3-a3952a2d4364,infraspecies,Plantae,"",Clematis henryi morii,t0086692,accepted,Clematis henryi var. morii,Variety,Plantae
1aaecb7a-8ce6-4590-b276-80e0f69398b7,infraspecies,Plantae,"",Clematis parviloba bartlettii,t0053052,accepted,Clematis parviloba subsp. bartlettii,Subspecies,Plantae
89c14b1f-d82b-4bcf-8d9b-de74b09dca49,infraspecies,Plantae,"",Buxus microphylla sinica,t0072950,accepted,Buxus liukiuensis,Species,Plantae
89c14b1f-d82b-4bcf-8d9b-de74b09dca49,infraspecies,Plantae,"",Buxus microphylla sinica,t0084584,accepted,Buxus microphylla subsp. sinica,Subspecies,Plantae
0f7a2123-7257-43ca-9026-36e84f5f6265,infraspecies,Plantae,"",Lotus corniculatus japonicus,t0085099,accepted,Lotus corniculatus var. japonicus,Variety,Plantae
b7c29b73-051e-4c96-9c6a-863a2b98e0aa,infraspecies,Plantae,"",Pueraria lobata thomsonii,t0084621,accepted,Pueraria montana var. thomsonii,Variety,Plantae
b7c29b73-051e-4c96-9c6a-863a2b98e0aa,infraspecies,Plantae,"",Pueraria lobata thomsonii,t0100915,deleted,Pueraria montana var. thomsonii,Variety,Plantae
220344f5-8c39-4863-bce1-cf5f9a4e137f,infraspecies,Plantae,"",Eriobotrya deflexa buisanensis,t0087642,accepted,Eriobotrya deflexa fo. buisanensis,Form,Plantae
8b1cc637-4582-4d5f-a94e-4bc031b1c7db,infraspecies,Plantae,"",Eriobotrya deflexa koshunensis,t0087642,accepted,Eriobotrya deflexa fo. buisanensis,Form,Plantae
8b1cc637-4582-4d5f-a94e-4bc031b1c7db,infraspecies,Plantae,"",Eriobotrya deflexa koshunensis,t0087643,accepted,Eriobotrya deflexa fo. koshunensis,Form,Plantae
cbf9bb85-c388-46d2-949b-7b247c04fd39,infraspecies,Plantae,"",Osteomeles anthyllidifolia subrotunda,t0058670,accepted,Osteomeles anthyllidifolia var. subrotunda,Variety,
0c4a4845-cbf9-4062-ad3a-36cb3654a9f9,infraspecies,Plantae,"",Rubus pseudoacer flexuosus,t0084623,accepted,Rubus pseudoacer subsp. flexuosus,Subspecies,Plantae
7d0af78c-5b21-43c3-8c92-2a45f23b9824,infraspecies,Plantae,"",Hypericum geminiflorum simplicistylum,t0058051,accepted,Hypericum geminiflorum var. simplicistylum,Variety,Plantae
0674fbd7-0e3e-414e-8a64-968145da9da4,infraspecies,Plantae,"",Geranium nepalense thunbergii,t0057934,accepted,Geranium nepalense subsp. thunbergii,Subspecies,Plantae
90249bab-7515-4b2c-bd53-67b7cebeaa72,infraspecies,Plantae,"",Circaea alpina imaicola,t0084590,accepted,Circaea alpina subsp. imaicola,Subspecies,Plantae
