TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_taxon_status
d99fdca4-0099-45c8-9500-c8d27560bd1d,order,Animalia,t0002029,Opiliones,accepted
5f5ed2e8-e428-40b6-962a-19d1f99aef5f,order,Animalia,t0002139,Scorpiones,accepted
42261f58-ff9d-458c-abfd-af5580fa82b0,order,Animalia,t0002232,Uropygi,accepted
2ccb3357-f376-4593-9e66-5b7e740bdc66,order,Animalia,t0002083,Podocopida,accepted
f2a5ddc6-af8d-4747-92e7-2249a2e4fa1e,order,Animalia,t0001891,Halocyprida,accepted
ef7d4f7b-6b45-443f-82ca-7c77d0893bf6,order,Animalia,t0001999,Myodocopida,accepted
ae244267-7648-49c1-9837-cb9b616538da,order,Animalia,t0001810,Decapoda,accepted
5dac49a6-e8be-4de9-b903-3f83f6aa7e89,order,Animalia,t0001680,Amphipoda,accepted
14ed0cff-f0cd-4b02-9faa-a0c800605be9,order,Animalia,t0002182,Stomatopoda,accepted
61898d93-3e4b-40fa-9142-b2cb7fc631ad,order,Animalia,t0001918,Isopoda,accepted
40f46e2f-b9dc-45b1-ac0a-2680a24bbb06,order,Animalia,t0002196,Tanaidacea,accepted
ade396e9-b70a-4e1a-9ebf-2631ee7b5d62,order,Animalia,t0001855,Euphausiacea,accepted
855d74f3-a536-4836-aef1-08b5191ff223,order,Animalia,t0003069,Mysidacea,accepted
49e7c14b-438f-4952-ac66-363d498040e1,order,Animalia,t0003024,Poecilostomatoida,deleted
e10d98fb-2f8f-4fdd-9f72-ada1e9a2e056,order,Animalia,t0001800,Cyclopoida,accepted
2b67e68e-9a70-4208-8d26-a21ca96ed894,order,Animalia,t0001733,Calanoida,accepted
9c3d62a5-1254-4257-aab1-322539e9ecb2,order,Animalia,t0001895,Harpacticoida,accepted
33a06981-7325-4e95-bc7f-31c778d042b9,order,Animalia,t0002147,Sessilia,accepted
05afcbaa-57cc-475b-aaa2-84f847a81a6a,order,Animalia,t0003082,Scalpelliiformes,deleted
7c8e0f7f-9cee-4932-a7ab-9cd96cf989b7,order,Animalia,t0002155,Siphonostomatoida,accepted
9338219a-f443-46b1-9f2d-635620956836,order,Animalia,t0002097,Porocephalida,accepted
feff7517-3774-4e88-a43c-0ecfd2bf74fe,order,Animalia,t0001979,Misophrioida,accepted
1a9d4828-9e32-4ff0-94a7-42b2df06b45d,order,Animalia,t0001988,Monstrilloida,accepted
72231a76-7027-4572-ab05-35e8ed39a647,order,Animalia,t0001990,Mormonilloida,accepted
