TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,taicol_taxon_id,taicol_status
882abf2e-ef80-4a35-ad78-f4019ec8e88b,phylum,Protozoa,"",Apicomplexa,"list(taxon_id = ""t0000191""","taicol_name_status = ""accepted"""
e8664484-ba7a-40aa-8a25-4b714333d715,phylum,Protozoa,"",Myxospora,[],
8871622d-79fb-4cf3-81ce-17728fbec285,class,Chromista,"",Prymnesiophyceae,"list(taxon_id = ""t0000333""","taicol_name_status = ""not-accepted"""
6c10e282-2b00-4df4-9269-a952a5bf0d05,class,Chromista,"",Peronosporea,[],
90b5ca13-2a9b-45a0-ba7e-29b2a3f6ca2d,class,Chromista,"",Synurophyceae,[],
0bda4552-4801-497e-96b1-ea6f782a931d,class,Protozoa,"",Labyrinthulea,"list(taxon_id = ""t0000351""","taicol_name_status = ""accepted"""
6449055b-86e9-41a0-8c8e-2c2cf0ca4bc7,class,Protozoa,"",Ciliatea,"list(taxon_id = ""t0002909""","taicol_name_status = ""accepted"""
3b5e4f6f-5f7c-4cf1-9774-85c21e2c7798,class,Protozoa,"",Oligotrichea,"list(taxon_id = ""t0002911""","taicol_name_status = ""accepted"""
4bb492bd-b350-428a-8f51-2d7f33ff4ebc,class,Protozoa,"",Polyhymenophora,[],
337f32d6-4876-404a-a3ac-3ae8dc1a3cf0,class,Protozoa,"",Suctorea,"list(taxon_id = ""t0002912""","taicol_name_status = ""accepted"""
702fb19b-68ac-4bce-b73c-36d91bb76a0b,class,Protozoa,"",Dinophyceae,"list(taxon_id = ""t0000338""","taicol_name_status = ""accepted"""
68c2ae6e-f392-4292-b39f-5962e18a728f,class,Protozoa,"",Gregarinea,"list(taxon_id = ""t0002908""","taicol_name_status = ""accepted"""
7960ba84-6a36-435d-becf-3cafe9078aa7,class,Protozoa,"",Myxosporea,"list(taxon_id = ""t0000523""","taicol_name_status = ""accepted"""
6ef111c9-2dbb-4b96-ba60-e13b309b68fd,order,Chromista,"",Coccosphaerales,"list(taxon_id = ""t0001114""","taicol_name_status = ""accepted"""
77e3c067-37f3-4af7-929a-25ef96e06ebb,order,Chromista,"",Chaetosphaeriales,"list(taxon_id = ""t0001389""","taicol_name_status = ""accepted"""
82f03d37-80d0-43cc-94dd-77c97317de6f,order,Fungi,"",Dimargaritaceae,"list(taxon_id = ""t0003422""","taicol_name_status = ""accepted"""
