TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
2b372471-f5c1-46fd-8db4-1cda4ca4bca6,species,Animalia,t0048593,Venus toreuma,Globivenus toreuma,accepted,TRUE
c83d91ca-22a2-446f-b03e-bcbf0f45e7e7,species,Animalia,t0038109,Sanguinolaria diphos,Hiatula diphos,accepted,TRUE
14cccbb5-9032-4529-814f-0d547f8f6f9c,species,Animalia,t0078228,Chlamys squamea,Scaeochlamys squamea,accepted,TRUE
ab7d41fa-7bbc-46dd-bee2-79380077f46d,species,Animalia,t0061207,Delectopecten fluctuatus,Ciclopecten fluctuatus,accepted,TRUE
16e52ca3-62df-486e-b34a-c74cda43a10d,species,Animalia,t0066900,Laternula liautaudi,Parilaternula liautaudi,accepted,FALSE
db7cbf8a-a0c7-4e31-93a9-bc9cdcd69b86,species,Animalia,t0066902,Laternula spengleri,Exolaternula spengleri,accepted,TRUE
513997ed-bd65-4e11-84dc-d2f49f638017,species,Animalia,t0029932,Brachidontes striatulus,Byssogerdius striatulus,accepted,FALSE
43a2b489-1d7f-46cb-9dcf-ca2aa3f1e350,species,Animalia,t0064374,Gemmula deshayesii,Unedogemmula deshayesii,accepted,TRUE
485d2995-9adb-42cf-b3cd-d95918509017,species,Animalia,t0096799,Drupa ricinus,Sistrum ricinus,accepted,TRUE
a8e5f24a-9aba-49f2-bf4f-1a1af8644287,species,Animalia,t0102722,Cerithidea pupiformis,Pirenella pupiformis,accepted,TRUE
843cff6c-04d7-4bda-b029-dfba8abeb6a2,species,Animalia,t0080330,Modulus tectum,Indomodulus tectum,accepted,TRUE
5c8367fb-aff5-4c39-bb2f-142f740e63d5,species,Animalia,t0081518,Neritina violaceum,Neripteron violaceum,accepted,TRUE
