TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
Antherigona,1,t0010066,not-accepted
Antherigona (Acritochaeta),,,
Morella,1,[],
Musca (Byomya),,,
Musca (Musca),,,
Musca (Philaematomyia),,,
Musca (Ptilolpis),,,
Musca (Viviparomusca),,,
Musca (Plaxemya),,,
Antocha (Antocha),,,
Austrolimnophila (Austrolimnophila),,,
Cheilotrichia (Empeda),,,
Elephantomyia (Elephantomyia),,,
Elephantomyia (Elephantomyodes),,,
Erioptera (Meterioptera),,,
Erioptera (Psiloconopa),,,
Erioptera (Tasiocerodes),,,
Gnophomyia (Gymnastes),,,
Gnophomyia (Idiocera),,,
Gnophomyia (Lipophleps),,,
Gnophomyia (Protogonomyia),,,
Gnophomyia (Ptilostenoides),,,
Helius (Eurhamphidia),,,
Helius (Helius),,,
Hexatoma (Eriocera),,,
Limnophlia (Adelphomyia),,,
Limnophlia (Brachylimnophlila),,,
Limnophlia (Dicranophragma),,,
Limnophlia (Eloeophila),,,
Limnophlia (Prionolabis),,,
Limonia (Atypophthalmus),,,
Limonia (Dicranomyia),,,
Limonia (Discobola),,,
Limonia (Euglochina),,,
Limonia (Eurhipida),,,
Limonia (Geranomyia),,,
Limonia (Goniodineura),,,
Limonia (Idioglochina),,,
Limonia (Laosa),,,
Limonia (Libnotes),,,
Limonia (Limonia),,,
Limonia (Melanolimonia),,,
Limonia (Nealexandriaria),,,
Limonia (Neolimonia),,,
Limonia (Pseudoglochina),,,
Limonia (Sivalimnobia),,,
Limonia (Thrypticomyia),,,
Molophilus (Molophilus),,,
Molophilus (Neolimnophila),,,
Orimarga (Orimarga),,,
Ormosia (Ormosia),,,
Paradelphomyia (Oxyrhiza),,,
Rhipidia (Eurhipidia),,,
Rhipidia (Rhipidia),,,
Tasiocera (Dasymolophilus),,,
Toxorhina (Ceratocheilus),,,
Atarba (Atarbodes),,,
Ctenophora (Dictenidia),,,
Ctenophora (Pselliophora),,,
Dolichopeza (Dolichopeza),,,
Dolichopeza (Mitopeza),,,
Dolichopeza (Nesopeza),,,
Dolichopeza (Oropeza),,,
Epiphragma (Epiphragma),,,
Leptoarsus (Longurio),,,
Nephrotoma (Nephrotoma),,,
Thaumastoptera (Taiwanita),,,
Tipula (Acutipula),,,
Tipula (Brithura),,,
Tipula (Emodotipula),,,
Tipula (Formotipula),,,
Tipula (Indotipula),,,
Tipula (Nippotipula),,,
Tipula (Pterelachisus),,,
Tipula (Schummelia),,,
Tipula (Sivatipula),,,
Tipula (Tipulodina),,,
Tipula (Trichotipula),,,
Tipula (Vestiplex),,,
Tipula (Yamatotipula),,,
Trentepholia (Mongoma),,,
Trentepholia (Trentepohlia),,,
Ula (Ula),,,
Bolitophila (Bolitophila),,,
Bolitophila (Cliopisa),,,
Brachytarsina (Brachytarsina),,,
Brunettia (Brunettia),,,
Phlebotomus (Phlebotomus),,,
Sergentomyia (Sergentomyia),,,
Celyphus (Celyphus),,,
Homoneura (Drosomyia),,,
Homoneura (Homoneura),,,
Homoneura (Minettioides),,,
Homoneura (Neohomoeura),,,
Minettia (Frendelia),,,
Minettia (Minettiella),,,
Sapromyza (Sapromyza),,,
Trigonometopus (Tetroxyrhina),,,
Chaetopleurophora (Tritoconicera),,,
Diplonerva (Diplonerva),,,
Diplonerva (Tristoechia),,,
Megaselia (Aphiochaeta),,,
Megaselia (Megaselia),,,
Phalacrotophora (Omapanta),,,
Phalacrotophora (Phalacrotophora),,,
Woodiphora (Woodiphora),,,
Leptocera (Leptocera),,,
Leptocera (Opacifrons),,,
Leptocera (Rachispoda),,,
Pipunculus (Cephalops),,,
Pipunculus (Claraeola),,,
Pipunculus (Eudorylas),,,
Loxocera (Loxocera),,,
Conops (Conops),,,
Grammicomyia (Ectemnodera),,,
Crataerina (Stenepteryx),,,
Icosta (Icosta),,,
Icosta (Ornithopouns),,,
Ornithoica (Ornithoica),,,
Icosta (Ardmoeca),,,
Cryptochetum (Cryptochetum),,,
Dicranota (Amalopina),,,
Dicranota (Rhaphidolabis),,,
Pedicia (Tricyphona),,,
Pilagiostenopterina (Meringomeria),,,
Pilagiostenopterina (Plagiostenopterina),,,
Leucopis (Leucopis),,,
Piophila (Piophila),,,
Piophila (Protopiophila),,,
Xenokeroplatus (Tipulokeroplatus),,,
Simulium (Comphostibia),,,
Simulium (Eusimulium),,,
Simulium (Montisimulium),,,
Simulium (Nevermannia),,,
Simulium (Simulium),,,
Simulium (Wallacellum),,,
Stronglyophthalmyia,1,t0016902,not-accepted
Symmerus (Psilosymmerus),,,
Ankylopteryx (Ankylopteryx),,,
Ankylopteryx (Sencera),,,
Mongoloraphidia (Formosoraphidia),,,
Hierodula (Hierodula),,,
Acropsylla (Acropsylla),,,
Trigonidium (Trigonidium),,,
Teratura (Megaconema),,,
Eoxizicus (Axizicus),,,
Eoxizicus (Eoxizicus),,,
Duolandrevus (Eulandrevus),,,
Phaloria (Phaloria),,,
Cutilia,1,t0006932,not-accepted
Xenos (Xenos),,,
Phylloglossum,,,
Tmesipteris,,,
Cheiroglossa,,,
Mankyua,,,
Danaea,,,
Eupodium,,,
Christensenia,,,
Marattia,1,[],
Leptopteris,,,
Todea,,,
Trichomanes,1,[],
Polyphlebium,,,
Gleichenella,,,
Sticherus,,,
Gleichenia,1,[],
Stromatopteris,,,
Matonia,,,
Phanerosorus,,,
Anemia,,,
Pilularia,,,
Regnellidium,,,
Thyrsopteris,,,
Loxsoma,,,
Loxsomopsis,,,
Culcita,1,t0012509,accepted
Culcita,2,,
Cyathea,1,[],
Gymnosphaera,1,[],
Calochlaena,,,
Dicksonia,1,[],
Lophosoria,,,
Metaxya,,,
Lonchitis,1,[],
Saccoloma,1,[],
Orthiopteris,,,
Cystodium,,,
Sphenomeris,1,[],
Nesolindsaea,,,
Xyropteris,,,
Blotiella,,,
Leptolepia,1,t0009032,not-accepted
Oenotrichia,1,t0009032,not-accepted
Llavea,,,
Actiniopteris,,,
Aspleniopsis,,,
Austrogramme,,,
Cerosora,,,
Cosentinia,,,
Jamesonia,,,
Nephopteris,,,
Pterozonium,,,
Syngramma,1,[],
Taenitis,1,[],
Adiantopsis,,,
Argyrochosma,,,
Aspidotis,,,
Astrolepis,,,
Bommeria,,,
Calciphilopteris,,,
Cassebeera,1,[],
Cheiloplecton,,,
Mildella,1,[],
Notholaena,1,[],
Paraceterach,1,[],
Pellaea,1,[],
Pentagramma,,,
Trachypteris,,,
Tryonella,,,
Ananthacorus,,,
Anetium,,,
Hecistopteris,,,
Monogramma,1,[],
Polytaenium,,,
Radiovittaria,,,
Rheopteris,,,
Scoliosorus,,,
Cystoathyrium,,,
Hemidictyum,,,
Homalosorus,,,
Parathelypteris,1,[],
Cheilanthopsis,,,
Hymenocystis,,,
Protowoodsia,,,
Onoclea,1,[],
Salpichlaena,,,
Stenochlaena,,,
Sadleria,,,
Pteridoblechnum,,,
Blechnum,1,[],
Struthiopteris,1,t0094739,accepted
Anisocampium,1,[],
Didymochlaena,,,
Adenoderris,,,
Coveniella,,,
Dracoglossum,,,
Revwattsia,,,
Stenolepia,,,
Acrophorus,1,t0091970,not-accepted
Cyrtogonellum,1,[],
Cyrtomidictyum,,,
Dryopolystichum,,,
Phanerophlebia,1,[],
Polystichopsis,1,[],
Arthrobotrya,,,
Cyclodium,1,[],
Lomagramma,,,
Maxonia,,,
Megalastrum,,,
Mickelia,,,
Olfersia,1,[],
Olfersia,2,[],
Polybotrya,1,[],
Rumohra,1,[],
Stigmatopteris,,,
Teratophyllum,,,
Cyclopeltis,,,
Thysanosoria,,,
Psammiosorus,,,
Aenigmopteris,,,
Hypoderris,,,
Psomiocarpa,,,
Triplophyllum,,,
Wagneriopteris,1,[],
Davallodes,,,
Christiopteris,,,
Gymnogrammitis,,,
Paraselliguea,,,
Phymatopteris,1,[],
Dendroconche,1,[],
Kaulinia,1,[],
Kontumia,,,
Lecanopteris,1,[],
Paragramma,,,
Phymatosorus,1,[],
Podosorus,,,
Thylacopteris,,,
Tricholepidium,1,[],
Campyloneurum,,,
Microgramma,,,
Niphidium,,,
Pecluma,,,
Phlebodium,,,
Pleopeltis,1,[],
Pleurosoriopsis,,,
Serpocaulon,,,
Synammia,,,
Acrosorus,,,
Adenophorus,,,
Ceradenia,,,
Chrysogrammitis,1,[],
Cochlidium,,,
Enterosora,,,
Lellingeria,,,
Leucotrichum,,,
Luisma,,,
Melpomene,,,
Nematopteris,,,
Radiogrammitis,1,[],
Themelium,1,[],
Zygophlebia,,,
Pichisermollodes,1,[],
Terpsichore,,,
Dioon,,,
Bowenia,,,
Lepidozamia,,,
Encephalartos,,,
Stangeria,,,
Ceratozamia,,,
Microcycas,,,
Welwitschia,,,
Gnetum,,,
Ephedra,,,
Cathaya,,,
Nothotsuga,,,
Wollemia,,,
Phyllocladus,,,
Lepidothamnus,,,
Prumnopitys,,,
Sundacarpus,,,
Halocarpus,,,
Parasitaxus,,,
Lagarostrobos,,,
Manoao,,,
Saxegothaea,,,
Microcachrys,,,
Pherosphaera,,,
Acmopyle,,,
Dacrycarpus,,,
Dacrydium,,,
Falcatifolium,,,
Retrophyllum,,,
Afrocarpus,,,
Sciadopitys,,,
Athrotaxis,,,
Papuacedrus,,,
Austrocedrus,,,
Libocedrus,1,[],
Pilgerodendron,,,
Widdringtonia,,,
Diselma,,,
Fitzroya,,,
Actinostrobus,,,
Neocallitropsis,,,
Tetraclinis,,,
Platycladus,,,
Microbiota,,,
Austrotaxus,,,
Torreya,,,
Barclaya,,,
Ondinea,,,
Tasmannia,,,
Bubbia,,,
Drimys,,,
Horsfieldia,,,
Virola,,,
Guatteria,,,
Xylopia,1,[],
Uvaria,1,[],
Monodora,,,
Anaxagorea,,,
Asimina,1,[],
Deeringothamnus,,,
Ocotea,,,
Licaria,,,
Nectandra,,,
Umbellularia,,,
Chlorocardium,,,
Lepidadenia,,,
Nothaphoebe,,,
Orontium,1,[],
Peltandra,,,
Spathicarpa,,,
Damasonium,1,[],
Elodea,1,[],
Enhalus,,,
Lagarosiphon,,,
Metanarthecium,1,[],
Stenomeris,,,
Heloniopsis,1,[],
Schoenocaulon,,,
Anticlea,1,t0010092,accepted
Amianthium,,,
Chamaelirium,,,
Pseudotrillium,,,
Stenanthium,,,
Toxicoscordion,,,
Xerophyllum,,,
Zigadenus,,,
Colchicum,,,
Wurmbea,,,
Androcymbium,,,
Iphigenia,,,
Uvularia,,,
Fritillaria,,,
Calochortus,,,
Clintonia,,,
Medeola,,,
Prosartes,,,
Scoliopus,,,
Acanthephippium,1,t0023077,not-accepted
Dienia,1,[],
Empusa,1,[],
Eucosia,1,[],
Flickingeria,1,[],
Galeola,1,[],
Pseudoliparis,1,[],
Salacistis,,,
Microtatorchis,1,[],
Bletia,1,[],
Calopogon,,,
Calypso,,,
Cleistes,,,
Corallorhiza,1,[],
Encyclia,,,
Harrisella,,,
Hexalectris,,,
Lepanthes,,,
Masdevallia,,,
Maxillaria,1,[],
Maxillaria,2,[],
Orchis,1,[],
Pleurothallis,,,
Polystachya,,,
Ponthieva,,,
Stelis,,,
Triphora,1,t0017776,accepted
× Ascocenda,,,
Ascocentrum,1,[],
× Brassidium,,,
Chamaeanthus,1,t0023442,accepted
Coeloglossum,1,[],
Didiciea,1,[],
× Doritaenopsis,,,
Ephemerantha,1,[],
Epigeneium,1,[],
× Epiphronitis,1,[],
× Laeliocattleya,,,
Myrmechis,1,[],
× Potinara,,,
× Sophrolaeliocattleya,,,
Tulotis,1,[],
× Vandachostylis,,,
× Vandaenopsis,,,
× Phalandopsis,,,
Podochilus,1,[],
Cirrhopetalum,1,[],
Microstylis,1,[],
Zosterostylis,1,[],
Liuguishania,1,[],
Grastidium,,,
Platyclinis,1,[],
Leucolena,1,[],
Epiphanes,1,[],
Cottonia,1,[],
Galera,1,t0007594,accepted
Limodorum,1,[],
Trichosma,1,[],
Physurus,1,[],
Cyrtopera,1,[],
Saccolabium,1,[],
Georchis,1,[],
Peramium,1,[],
Adenostylis,1,[],
Dicerostylis,1,[],
Hippeophyllum,1,[],
Evrardia,1,[],
Chamaegastrodia,,,
Apaturia,1,[],
Papilisia,,,
Glossula,1,[],
Conchidium,1,[],
Gymnadenia,1,[],
Ione,1,t0021149,accepted
Ione,2,,
Sarcochilus,1,[],
Euproboscis,1,[],
Ascochilus,1,[],
Dendrocolla,1,[],
Aporum,,,
Stauropsis,1,[],
Kuhlhasseltia,1,[],
Pristiglottis,1,[],
Cystopus,1,[],
Monochilus,1,[],
Heterozeuxine,1,[],
Alophia,,,
Calydorea,,,
Geissorhiza,,,
Hesperantha,,,
Nemastylis,,,
Romulea,,,
Watsonia,,,
Urceolina,,,
Galanthus,,,
Nerine,,,
Campylandra,1,t0002523,not-accepted
Nolina,1,[],
Attalea,,,
Daemonorops,,,
Euterpe,1,[],
Metroxylon,,,
Phytelephas,,,
Rhaphidophyllum,,,
Thrinax,,,
Collinia,1,[],
Neodypsis,1,[],
Aneilema,1,[],
Rhoeo,,,
Setcreasea,1,[],
Heteranthera,1,[],
Monochoria,1,[],
Anigozanthos,,,
Conostylis,,,
Haemodorum,,,
Lachnanthes,,,
Kaempferia,1,[],
Renealmia,1,[],
Languas,1,[],
Catimbium,,,
Catopsis,,,
Puya,,,
Lachnocaulon,,,
Leiothrix,1,t0021618,accepted
Paepalanthus,,,
Syngonanthus,,,
Eriophorum,,,
Kyllinga,1,[],
Mariscus,1,[],
Chondropetalum,,,
Elegia,,,
Ischyrolepis,,,
Restio,1,[],
Thamnochortus,,,
Andropogon,1,[],
Pleioblastus,1,[],
Sasa,1,[],
Spartina,1,[],
Stipa,1,[],
Thaumastochloa,1,[],
Calamovilfa,,,
Chaetochloa,1,[],
Dichanthelium,,,
Adlumia,,,
Arctomecon,,,
Canbya,,,
Chelidonium,1,t0011744,accepted
Dendromecon,,,
Dicentra,,,
Glaucium,,,
Hesperomecon,,,
Meconella,,,
Platystemon,,,
Romneya,,,
Sanguinaria,1,[],
Stylophorum,,,
Abuta,,,
Calycocarpum,,,
Menispermum,1,[],
Achlys,1,[],
Caulophyllum,1,[],
Diphylleia,1,[],
Jeffersonia,1,[],
Podophyllum,1,[],
Vancouveria,1,[],
Actaea,1,t0009403,accepted
Actaea,2,,
Caltha,,,
Hydrastis,,,
Isopyrum,1,[],
Myosurus,,,
Xanthorhiza,,,
Platanus,,,
Banksia,1,[],
Embothrium,,,
Hakea,,,
Leucadendron,,,
Leucospermum,,,
Protea,,,
Roupala,,,
Telopea,1,[],
Altingia,,,
Fothergilla,,,
Hamamelis,,,
Rhodoleia,,,
Boykinia,,,
Heuchera,,,
Leptarrhena,,,
Sullivantia,,,
Tellima,,,
Tolmiea,,,
Diamorpha,,,
Dudleya,,,
Lenophyllum,,,
Villadia,,,
Balanites,,,
Bulnesia,,,
Fagonia,,,
Guaiacum,,,
Kallstroemia,1,[],
Larrea,,,
Porlieria,,,
Zygophyllum,,,
Adesmia,,,
Dalea,,,
Inga,1,[],
Laburnum,,,
Parkinsonia,,,
Swartzia,1,[],
Glycyrrhiza,,,
Monnina,,,
Muraltia,,,
Securidaca,,,
Alchemilla,,,
Amelanchier,,,
Exochorda,,,
Kerria,1,t0021350,accepted
Lyonothamnus,,,
Physocarpus,,,
Adolphia,,,
Ceanothus,1,[],
Colletia,,,
Gouania,,,
Krugiodendron,,,
Phylica,,,
Pomaderris,,,
Reynosia,,,
Forrestia,1,[],
Planera,,,
Brosimum,,,
Dorstenia,,,
Allaeanthus,1,t0091714,accepted
Hesperocnide,,,
Chrysolepis,,,
Comptonia,,,
Canacomyrica,,,
Allocasuarina,,,
Gymnostoma,,,
Ostrya,,,
Cayaponia,,,
Cyclanthera,,,
Echinocystis,,,
Gurania,,,
Hillebrandia,,,
Catha,,,
Crossopetalum,,,
Salacia,,,
Hippocratea,,,
Paxistima,,,
Schaefferia,,,
Cassipourea,,,
Clusia,,,
Vismia,,,
Aspicarpa,,,
Banisteriopsis,,,
Byrsonima,,,
Galphimia,,,
Heteropterys,,,
Janusia,,,
Rinorea,,,
Banara,,,
Oncoba,,,
Samyda,,,
Argythamnia,,,
Bernardia,,,
Cnidoscolus,,,
Dalechampia,,,
Reverchonia,,,
Sapium,1,[],
Sebastiania,,,
Stillingia,1,[],
Tragia,1,[],
Pedilanthus,1,[],
Synostemon,1,t0002629,not-accepted
Andrachne,1,[],
Cleistanthus,,,
Savia,,,
Cicca,1,[],
Emblica,1,[],
Bucida,,,
Laguncularia,,,
Decodon,1,t0018460,accepted
Didiplis,,,
Diplusodon,,,
Lythrum,1,[],
Nesaea,,,
Peplis,1,[],
Camissonia,,,
Chamerion,,,
Chylismia,,,
Chylismiella,,,
Eulobus,,,
Gayophytum,,,
Corymbia,1,[],
Acca,,,
Calyptranthes,1,[],
Mosiera,,,
Myrcia,,,
Myrcianthes,,,
Myrciaria,,,
Myrtus,1,[],
Pimenta,,,
Pachycentria,1,[],
Dissotis,,,
Leandra,1,[],
Miconia,1,[],
Microlica,,,
Rhexia,1,[],
Tetrazygia,,,
Euscaphis,1,[],
Turpinia,1,[],
Bursera,,,
Commiphora,,,
Protium,,,
Astronium,,,
Cotinus,,,
Lannea,,,
Loxopterygium,,,
Metopium,,,
Blighia,,,
Cupania,,,
Exothea,,,
Harpullia,,,
Hypelate,,,
Paullinia,1,[],
Agathosma,,,
Amyris,,,
Chloroxylon,,,
Cneoridium,,,
Fortunella,1,[],
Ptelea,1,[],
Triphasia,,,
Euodia,1,[],
Castela,,,
Leitneria,,,
Simaba,,,
Simarouba,,,
Entandrophragma,,,
Guarea,,,
Trichilia,1,[],
Turraea,,,
Chorisia,1,[],
Althaea,,,
Callirhoe,,,
Cola,,,
Dombeya,,,
Fremontodendron,,,
Kosteletzkya,,,
Pavonia,,,
Sidalcea,,,
Sphaeralcea,,,
Tilia,,,
Diplomorpha,1,[],
Cistus,,,
Crocanthemum,,,
Helianthemum,,,
Hudsonia,,,
Lechea,,,
Dipterocarpus,,,
Hopea,,,
Shorea,,,
Tovaria,1,[],
Alliaria,,,
Alyssum,,,
Aurinia,,,
Cakile,,,
Caulanthus,,,
Descurainia,,,
Dimorphocarpa,,,
Erysimum,,,
Heliophila,,,
Hesperis,,,
Iberis,,,
Leavenworthia,,,
Lesquerella,,,
Lunaria,1,[],
Physaria,,,
Polanisia,1,[],
Schoenocrambe,,,
Sinapis,,,
Stanleya,,,
Streptanthus,,,
Warea,,,
Arceuthobium,,,
Buckleya,,,
Comandra,,,
Dendrophthora,,,
Geocaulon,,,
Nestronia,,,
Phoradendron,,,
Pryularia,,,
Agelanthus,,,
Amyema,,,
Psittacanthus,,,
Phthirusa,,,
Struthanthus,,,
Tapinanthus,,,
Chorizanthe,,,
Eriogonum,,,
Nemacaulis,,,
Oxyria,,,
Oxytheca,,,
Polygonella,,,
Rheum,,,
Stenogonum,,,
Dionaea,,,
Agrostemma,,,
Geocarpon,,,
Minuartia,,,
Paronychia,,,
Stipulicida,,,
Blutaparon,,,
Corispermum,,,
Froelichia,,,
Grayia,,,
Monolepis,,,
Nitrophila,,,
Ptilotus,,,
Salicornia,,,
Salsola,1,[],
Antimima,,,
Carpobrotus,,,
Cryophytum,,,
Cypselea,,,
Drosanthemum,,,
Galenia,,,
Lithops,,,
Ruschia,,,
Aptenia,1,[],
Abronia,1,[],
Acleisanthes,,,
Allionia,,,
Anulocaulis,,,
Commicarpus,,,
Cyphomeris,,,
Guapira,,,
Neea,,,
Nyctaginia,,,
Okenia,1,t0013384,accepted
Tripterocalyx,,,
Calandrinia,,,
Cistanthe,,,
Claytonia,,,
Lewisia,,,
Montia,,,
Phemeranthus,,,
Talinopsis,,,
Hylocereus,1,[],
Consolea,,,
Cylindropuntia,,,
Grusonia,,,
Harrisia,,,
Melocactus,,,
Pediocactus,,,
Schlumbergera,,,
Sclerocactus,,,
Cardiandra,1,t0002687,not-accepted
Pileostegia,1,t0002687,not-accepted
Pileostegia,2,,
Schizophragma,1,t0002687,not-accepted
Philadelphus,,,
Decumaria,,,
Fendlera,,,
Benthamidia,1,t0002688,not-accepted
Swida,1,[],
Davidia,,,
Mastixia,,,
Nyssa,1,[],
Eschweilera,1,[],
Gustavia,1,t0020305,accepted
Madhuca,,,
Sideroxylon,1,[],
Lucuma,1,[],
Anagallis,1,t0002696,not-accepted
Clavija,,,
Glaux,1,t0002696,not-accepted
Hottonia,1,[],
Jacquinia,,,
Trientalis,1,t0002696,not-accepted
Wallenia,,,
Gordonia,1,t0002704,accepted
Gordonia,2,t0088182,accepted
Franklinia,,,
Laplacea,,,
Stewartia,,,
Heliamphora,,,
Darlingtonia,,,
Monotropastrum,1,[],
Agapetes,1,[],
Agarista,,,
Andromeda,1,[],
Arbutus,,,
Arctostaphylos,,,
Bejaria,,,
Cavendishia,,,
Ceratiola,,,
Chamaedaphne,,,
Corema,,,
Diplycosia,,,
Empetrum,,,
Epacris,,,
Erica,,,
Eubotrys,,,
Gaylussacia,,,
Kalmia,,,
Leucopogon,,,
Leucothoe,,,
Monotropsis,,,
Oxydendrum,,,
Pterospora,,,
Palicourea,,,
Rondeletia,1,t0015956,accepted
Cliococca,,,
Ernodea,1,[],
Erithalis,,,
Exostema,,,
Genipa,,,
Pentodon,,,
Pinckneya,,,
Serissa,1,t0002746,not-accepted
Litosanthes,1,[],
Neolamarckia,,,
Gentianella,,,
Sebaea,,,
Halenia,,,
Bartonia,,,
Frasera,,,
Sabatia,,,
Voyria,,,
Matelea,,,
Gonolobus,,,
Secamone,,,
Mandevilla,,,
Amsonia,,,
Angadenia,,,
Apocynum,1,[],
Echites,1,[],
Macrosiphonia,,,
Morrenia,,,
Pentalinon,,,
Rhabdadenia,,,
Sarcostemma,,,
Vallesia,,,
Aspidosperma,,,
Cascabela,,,
Tylophora,1,t0002519,not-accepted
Pergularia,1,[],
Onosma,,,
Cryptantha,,,
Phacelia,,,
Amsinckia,,,
Bourreria,,,
Draperia,,,
Ellisia,,,
Eriodictyou,,,
Hackelia,,,
Hydrophyllum,,,
Lappula,,,
Mertensia,1,[],
Nama,1,[],
Nemophila,,,
Onosmodium,,,
Plagiobothrys,,,
Romanzoffia,,,
Pulmonaria,,,
Varronia,,,
Convolvulus,1,[],
Bonamia,,,
Stylisma,,,
Porana,,,
Atropa,1,[],
Noronhia,,,
Menodora,,,
Forestiera,,,
Forsythia,,,
Besleria,,,
Chirita,1,[],
Alloplectus,,,
Gesneria,,,
Boea,1,[],
Didymocarpus,,,
Gratiola,1,[],
Chelone,1,[],
Collinsia,,,
Hippuris,,,
Maurandya,,,
Verbascum,,,
Eremophila,,,
Selago,,,
Manulea,1,t0026129,accepted
Nemesia,,,
Sutera,,,
Bontia,,,
Anisacanthus,,,
Carlowrightia,,,
Dyschoriste,,,
Elytraria,,,
Siphonoglossa,,,
Stenandrium,,,
Asystasiella,1,[],
Adhatoda,1,[],
Calliaspidia,,,
Adenocalymma,1,[],
Arrabidaea,,,
Pithecoctenium,,,
Chilopsis,,,
Podranea,,,
Pinguicula,,,
Lippia,1,[],
Citharexylum,,,
Glandularia,,,
Aloysia,,,
Bouchea,,,
Priva,,,
Thymus,1,[],
Plectranthus,1,[],
Nepeta,1,[],
Dicerandra,,,
Dracocephalum,,,
Hedeoma,,,
Hyssopus,,,
Marrubium,,,
Monarda,,,
Piloblephis,,,
Pycnanthemum,,,
Pycnostachys,,,
Satureja,,,
Trichostema,,,
Holmskioldia,,,
Leonotis,,,
Mimulus,1,t0002837,not-accepted
Castilleja,,,
Buchnera,1,[],
Harveya,,,
Aureolaria,,,
Conopholis,,,
Epifagus,,,
Orthocarpus,,,
Rhinanthus,,,
Seymeria,,,
Centropogon,,,
Siphocampylus,,,
Downingia,,,
Githopsis,,,
Heterocodon,,,
Howellia,,,
Jasione,,,
Legenere,,,
Nemacladus,,,
Parishella,,,
Porterella,,,
Cousinia,,,
Helichrysum,1,[],
Baccharis,1,[],
Verbesina,1,[],
Jurinea,,,
Crepis,1,[],
Symphyotrichum,,,
Sericocarpus,,,
Antennaria,,,
Arnoglossum,,,
Balduina,,,
Berlandiera,,,
Brickellia,,,
Carphephorus,,,
Chrysopsis,,,
Croptilon,,,
Chaenactis,,,
Chrysothamnus,,,
Ericameria,,,
Eriophyllum,,,
Euthamia,,,
Gamochaeta,,,
Haplopappus,,,
Krigia,,,
Layia,,,
Lessingia,,,
Lygodesmia,,,
Packera,,,
Pityopsis,,,
Prenanthes,1,[],
Silphium,1,[],
Pulicaria,,,
Glebionis,,,
Hemistepta,1,t0023988,not-accepted
Kalimeris,1,[],
Wedelia,1,[],
Arctotis,,,
Ethulia,1,[],
Gazania,,,
Pseudoconyza,,,
Synurus,1,[],
Lapsana,1,[],
Adoxa,,,
Valerianella,,,
Dipsacus,,,
Linnaea,,,
Symphoricarpos,,,
Diervilla,,,
Weigela,,,
Kolkwitzia,,,
Schefflera,1,[],
Oreopanax,1,[],
Ferula,,,
Lomatium,,,
Heracleum,,,
Carum,,,
Cicuta,1,[],
Ligusticum,1,[],
Oxypolis,,,
Pastinaca,,,
Ptilimnium,,,
Spermolepis,,,
Thaspium,,,
Zizia,,,
Cuminum,1,[],
Petroselinum,,,
Conium,,,
Spilanthes,1,[],
Herissantia,1,[],
Humbertacalia,,,
Schizocodon,1,[],
Menziesia,,,
Chelonopsis,1,[],
Hemianthus,1,[],
Hyphear,1,[],
Discospaera,,,
Peronoplasmopara,1,[],
Rhoicospenia,,,
Corithorn,,,
Fragilariacylin,1,[],
Licomophora,,,
Schuettia,1,[],
Sticodiscus,,,
Nitzschiella,1,[],
Lieudugeria,,,
Molpadia,1,t0026148,accepted
Hincksia,1,[],
Neurocarpus,1,[],
Chaetosphaeria,1,t0007253,accepted
Codinaea,1,t0007319,accepted
Dictyochaeta,1,t0007451,accepted
Gonytrichum,1,t0007641,accepted
Porosphaerella,1,t0008296,accepted
Sporoschisma,1,t0008547,accepted
Coriolus (Trametes),,,
Fomes,1,[],
Pachykytospora,1,[],
Polyporellus,,,
Poria,1,[],
Magoderna,,,
Plicatura,,,
Merulius,1,[],
Pulcherricium,,,
Phlebiella,1,[],
Megalocystidium,,,
Psalliota,,,
Copelandia,,,
Pseudocoprinus,,,
Armillariella,,,
Omphalina,,,
Sinotermitomyces,,,
Simblum,,,
Gastroboletus,,,
Paxillus,,,
Cryptoderma,1,t0012447,accepted
Leifia,,,
Femsjonia,1,[],
Coleopuccinia,1,[],
Micrococcus,1,t0007962,accepted
Micrococcus,2,t0088272,accepted
Naemateloma fasciculare,1,t0041026,not-accepted
Poliotelium,,,
Haplosporangium,,,
Trichoconis,,,
Phaeoseptoria,,,
Trematosphaerella,,,
Munkovalsaria,,,
Fumago,,,
Pringshemia,,,
Cercosporidium,,,
Phaeoramularia,,,
Meria,,,
Phytocordyceps,,,
Polycephalomyces,,,
Chloridium virescens,1,t0034801,accepted
Gliocladium,1,[],
Gonytrichella,,,
Theissenia,,,
Lopadostoma,,,
Doratomyces,,,
Trichurus,1,[],
Schizoparme,1,[],
Graphina,1,[],
Gyrostomum,,,
Sowerbyella,,,
Galiella,,,
Clavidisculum,,,
Coelocaulon,,,
Melanelia,,,
Cladina,1,[],
Psoroma,,,
Merimbla,,,
Sarophorum,,,
Nematospora,,,
Diplochytridium,1,[],
Karlingia,,,
Diplotheca,1,t0006612,not-accepted
Parvicorbicula,1,[],
Platypleura,1,t0014839,accepted
Platypleura,2,t0093371,not-accepted
Diploeca,1,[],
Amphymenium,,,
Tristephanium,,,
Actinophrys,1,t0006497,accepted
Actinosphaerium,1,t0006498,accepted
Biloculinella (Pyrgoella),,,
Flintina (Pseudofintina),,,
Sigmoilina (Spirosigmoilina),,,
Triloculina (Scutuloris),,,
Globigerina (Globigerinella),,,
Globigerina (Globorotaloides),,,
