TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
Diplodia,1,t0007476,accepted
Dischloridium,1,t0007482,accepted
Hemicorynespora,1,t0007704,accepted
Heterosporium,1,[],
Menisporopsis,1,t0007954,accepted
Monilochaetes,1,t0007987,accepted
Morrisiella,1,t0008003,accepted
Thozetella,1,t0008632,accepted
Nomuraea,1,[],
Ovulariopsis,1,t0008129,accepted
Dinemasporium,1,t0007470,accepted
Linocarpon,1,t0007891,accepted
Strigula,1,t0008576,accepted
Actinophyridae,1,t0003159,accepted
Actinosphaeridae,1,t0003160,accepted
Alabaminidae,,,
Nebelidae,1,[],
Raphidiophyidae,1,t0003283,accepted
Amphileptidae,1,t0003165,accepted
Aspidiscidae,1,t0003173,accepted
Euplotidae,1,t0003218,accepted
Enchelys,1,t0006623,accepted
Lionotus,1,t0006705,accepted
Oxytrichidae,1,t0003258,accepted
Podopyrya,1,t0006779,accepted
Stichotricha,1,t0006861,accepted
Uroleptus,1,t0006894,accepted
Spirostomidae,1,t0003120,accepted
Fabrea,1,t0006636,accepted
Metopidae,1,t0003247,accepted
Stentorella,1,t0006856,accepted
Bilidiidae,1,t0003178,accepted
Codonellopsidae,1,t0003194,accepted
Cyrtostrombidiidae,1,t0003201,accepted
Ptychocylididae,1,t0003278,accepted
Halteriidae,1,t0003233,accepted
Tintinnididae,1,t0003131,accepted
Tontoniidae,1,t0003132,accepted
Stentoridae,1,t0003123,accepted
Codoenllidae,1,t0003193,accepted
Vorticellidae,1,t0003142,accepted
Tetrahymenidae,1,t0003126,accepted
Ichthyophthiriidae,1,t0003238,accepted
Frontoniidae,1,t0003219,accepted
Glaucomidae,1,t0003224,accepted
Parameciidae,1,t0003259,accepted
Pleuronematidae,1,t0003270,accepted
Urocentridae,1,t0003137,accepted
Strombidinopsidae,1,t0003125,accepted
Saprodinium,1,t0006817,accepted
Thecacinetidae,1,t0003128,accepted
Gonyaulaceae,1,t0003227,accepted
Peridiniaceae,1,t0003264,accepted
Ceratiaceae,1,t0003187,accepted
Ceratocoryaceae,1,t0003189,accepted
Glenodiniaceae,1,t0003225,accepted
Heterodiniaceae,1,t0003236,accepted
Oxytoxaceae,1,t0003257,accepted
Podolampadaceae,1,t0003271,accepted
Pyrophacaceae,1,t0003281,accepted
Gymnodiniidae,1,t0003232,accepted
Amphisoleniaceae,1,t0003167,accepted
Dinophysiaceae,1,t0003206,accepted
Pyrocystaceae,1,t0003280,accepted
Gymnodiniaceae,1,t0003231,accepted
Noctilucaceae,1,t0003251,accepted
Prorocentraceae,1,t0003274,accepted
Oodiniaceae,1,t0003255,accepted
Lecudinidae,1,t0003240,accepted
Kudoidae,1,t0003239,accepted
Myxobolidae,1,t0003248,accepted
Cybaeidae,,,
Phonognathidae,,,
Prodidomidae,,,
Urocteidae,,,
Hormogonales,1,[],
Tetrasporales,1,[],
Gloeocystaceae,1,[],
Coelastraceae,1,[],
Chlorococcaceae,1,[],
Dictyosphaeriaceae,1,[],
Callyspongia (Cladochalina),,,
Callyspongia (Toxochalina),,,
Petrosia (Petrosia),,,
Petrosia (Strongylophora),,,
Clathria (Thalysias),,,
Crella (Grayella),,,
