TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName
c13a2ecf-b282-457a-a3d0-7d6b3c316073,infraspecies,Protozoa,t0087549,Lepocinclis ovum globula
8ba1daad-f3d9-4f14-b2f0-554593e0d3c4,infraspecies,Protozoa,t0087550,Lepocinclis ovum obesa
00a2a4b8-58e1-43ec-ad96-8b5a9c7abd50,infraspecies,Protozoa,t0087551,Lepocinclis ovum ovum
11be6d3c-7184-43ec-a506-7cab526f9374,infraspecies,Protozoa,t0087749,Lepocinclis salina pachyderma
a7d0652a-358e-40d4-ab7f-fffcc727a495,infraspecies,Protozoa,t0087537,Lepocinclis acicularis acicularis
54ff1483-1d11-4f3d-93b1-8f9cb35f972c,infraspecies,Protozoa,t0087538,Lepocinclis cyclindrica minor
2ad3d42f-291a-4345-84bc-2f004d35907a,infraspecies,Protozoa,t0087552,Lepocinclis reeuwykiana kriegeri
613f9a18-bd18-4060-b52d-ee690f517bf4,infraspecies,Protozoa,t0087555,Phacus acuminatus megaparamylica
061e9486-e626-4870-92cc-1d3336c0069c,infraspecies,Protozoa,t0087556,Phacus longicauda attenuata
80f2e608-9897-480c-a2c2-9914d505e989,infraspecies,Protozoa,t0087557,Phacus longicauda insecta
107c004a-1079-4691-b4ae-ef0a66ebfebb,infraspecies,Protozoa,t0087558,Phacus longicauda major
2e19a352-0fb3-471e-af97-d0f28fa87baf,infraspecies,Protozoa,t0087559,Phacus longicauda rotunda
55de2bf2-ce9d-44d4-92ea-d7a4e4c10b6b,infraspecies,Protozoa,t0087560,Phacus mangini mangini
710c836f-c538-4602-b60f-a4904fd9f31c,infraspecies,Protozoa,t0087561,Phacus segretii segretii
c6396e3e-aa10-4ca3-8295-37bb8e987adc,infraspecies,Protozoa,t0087562,Phacus stokesii minor
e039d173-cf8c-4578-bc00-026af381bcfa,infraspecies,Protozoa,t0087563,Phacus venustus prescottii
8b193c7c-b5bc-48de-bc2c-2fc0d8e08bd2,infraspecies,Protozoa,t0087750,Strombomonas eurystoma sinensis
dba23c41-38e9-4e6f-b0b9-608c72ad2806,infraspecies,Protozoa,t0087576,Strombomonas praeliaris nana
032c47e0-2864-4692-9434-93750500db0a,infraspecies,Protozoa,t0087575,Strombomonas girardiana glabra
e7cf17a6-cd70-4170-9879-df6fe5555aa7,infraspecies,Protozoa,t0087577,Strombomonas tetraptera gallica
046632cb-6b91-4aaa-912d-40f587110035,infraspecies,Protozoa,t0087578,Strombomonas verrucosa elongata
50e6a237-0ebc-4c45-b730-8c90ead67b60,infraspecies,Protozoa,t0087580,Trachelomonas acanthostoma minor
cf2d6def-73ff-4a16-9950-d28a90d281e8,infraspecies,Protozoa,t0087751,Trachelomonas armata coronata
f0f560f1-2bdf-41bd-a410-04b4791b482e,infraspecies,Protozoa,t0087752,Trachelomonas armata inevoluta
a3060b02-af22-4a50-ba4f-9e0c8d86d812,infraspecies,Protozoa,t0087753,Trachelomonas armata steinii
53b566b5-1eb4-4b6e-aa84-95d9935a3d94,infraspecies,Protozoa,t0087585,Trachelomonas hispida crenulatocollis
a2c00304-a8c2-4e39-9aca-ac287a6004ee,infraspecies,Protozoa,t0087586,Trachelomonas hispida hispida
8e1084cb-80c7-4e1a-aa80-c2d85fda117c,infraspecies,Protozoa,t0087587,Trachelomonas intermedia minor
a3c365a2-a1da-4f40-ad47-675085f16b3e,infraspecies,Protozoa,t0087588,Trachelomonas intermedia papillifera
8812f39d-0461-49a6-8a03-3f44071f52ae,infraspecies,Protozoa,t0087589,Trachelomonas intermedia spinifera
a943b05c-495d-4bba-8753-3f5db7ce9f11,infraspecies,Protozoa,t0087592,Trachelomonas oblonga australica
51e89f5d-4332-4570-8e47-8ab61fbd9830,infraspecies,Protozoa,t0087593,Trachelomonas oblonga truncata
69461f3f-080a-4c03-b48b-adc626a223e1,infraspecies,Protozoa,t0087754,Trachelomonas pavlovskoensis ellipsoidea
f59cefe0-0dca-4cff-98e0-305aee04310c,infraspecies,Protozoa,t0087755,Trachelomonas planctonica oblonga
6ceb67e2-de78-44f5-a0bc-e8dbe662c031,infraspecies,Protozoa,t0087596,Trachelomonas pseudobulla bulloides
f07b4b3b-6837-4565-8459-a940154954db,infraspecies,Protozoa,t0087598,Trachelomonas scabra coberensis
6bdf6926-f1e2-4fd9-a502-d2bde3f8bccc,infraspecies,Protozoa,t0087599,Trachelomonas scabra elliptica
8971350a-1122-4f89-84ec-4bd5b22e2a0a,infraspecies,Protozoa,t0087600,Trachelomonas volvocina derephora
392e9110-17f2-4fdb-aad3-0408da5c3a51,infraspecies,Protozoa,t0087601,Trachelomonas volvocina punctata
193382d2-b20b-4009-a6cc-80567855341d,infraspecies,Protozoa,t0087579,Trachelomonas abrupta minor
49efdd24-2204-4665-a0f0-5e24d52b462f,infraspecies,Protozoa,t0033454,Trachelomonas acuminata amphora
6819a323-99d9-4ce4-b490-3123dc6244ad,infraspecies,Protozoa,t0087581,Trachelomonas bacillifera minima
581fc44b-0608-4b7f-bcfe-e3434c013d09,infraspecies,Protozoa,t0087582,Trachelomonas curta curta
78ff4876-ba62-43ef-aa2e-13ca9d026854,infraspecies,Protozoa,t0087583,Trachelomonas curta subpunctata
49f03b59-cb5a-43a1-bbb0-302ba9d89a3b,infraspecies,Protozoa,t0087584,Trachelomonas cylindrica decollata
f5d119db-d00e-45ca-bca0-29e2d2b64e8c,infraspecies,Protozoa,t0087590,Trachelomonas mirabilis affinis
74abfed5-2891-4215-aa0d-a4224e837c7e,infraspecies,Protozoa,t0087591,Trachelomonas niklewskii bourrellyi
c2ae7c47-d429-4f70-aedf-022bec4a11fe,infraspecies,Protozoa,t0087594,Trachelomonas ovalis minor
51bda74f-a56c-4cbe-8f71-b02e5a1da82b,infraspecies,Protozoa,t0087595,Trachelomonas playfairi oviformis
6869e3c2-078b-45a9-a8df-10e35d209019,infraspecies,Protozoa,t0087597,Trachelomonas pusilla punctata
a555ff59-f77c-42df-baef-8d3cf714e2c7,infraspecies,Protozoa,t0033456,Trachelomonas volzii cylindracea
2c84854b-8e74-48ce-9866-74848cc6a958,infraspecies,Protozoa,t0087602,Trachelomonas volzii intermedia
235c486c-e2ef-4cdf-b007-96e368fdbc51,infraspecies,Protozoa,t0087603,Trachelomonas woycickii pusilla
7cb1df69-3338-4b27-9d14-de228a67a8f4,infraspecies,Protozoa,t0087554,Petalomonas mediocanellata distomata
de0bfe85-0baa-4509-ae0d-542f0c4cb74d,infraspecies,Protozoa,t0087553,Perichaena corticalis liceoides
f7dcba91-582c-4983-9234-eb5274de664a,infraspecies,Protozoa,t0087517,Calomyxa metallica microspora
5dbdeb87-f1cb-413b-a2da-28a9a9c7811c,infraspecies,Protozoa,t0087604,Trichia botrytis cerifera
5372d308-a191-4b4a-8b8e-d66a8e4fec14,infraspecies,Protozoa,t0058438,Trichia contorta iowensis
70aca815-0cfe-4d06-867a-9b33e03ba5f0,infraspecies,Protozoa,t0028310,Trichia contorta karstenii
74cbf727-3403-48e5-a820-abfe2e2b76e9,infraspecies,Protozoa,t0087529,Craterium leucocephalum scyphoides
a91b52fd-2a9d-4dc6-99a3-e69254a38081,infraspecies,Protozoa,t0087530,Craterium leucocephalum sessile
ffadf74f-4a89-49e9-9af0-0955581da042,infraspecies,Protozoa,t0087536,Fuligo septica flava
2b307b10-f67e-4a13-8a7d-490f136ed586,infraspecies,Protozoa,t0086583,Physarum nutans rubrum
bc5e7abb-5b96-4162-bffc-445342308c6c,infraspecies,Protozoa,t0087566,Physarum viride aurantium
58115424-e55d-41c9-8357-f8f8542608d5,infraspecies,Protozoa,t0087565,Physarum didermoides lividum
eada8d1b-fdda-4f15-859c-6ef34defcf6a,infraspecies,Protozoa,t0087532,Diderma effusum pachytrichon
44efa46a-eff8-42fd-8f4a-77a4ee072885,infraspecies,Protozoa,t0087533,Diderma platycarpum berkerleyanum
0f202bbd-0a7a-4dac-9315-b1619ee03d67,infraspecies,Protozoa,t0087531,Diderma cingulatum rimosum
5806035e-2ba1-44cc-85fc-d7df8e16f68a,infraspecies,Protozoa,t0087534,Didymium melanospermum bicolor
3cf7e15a-408c-4f03-ab73-2aef63f701b3,infraspecies,Protozoa,t0087528,Clastoderma debaryanum imperatorium
b5f5d4f6-2c4c-4601-812e-7e56e6d83ae6,infraspecies,Protozoa,t0087571,Stemonitis fusca papillosa
18094b85-aea8-46cf-a01c-23db83183f36,infraspecies,Protozoa,t0087570,Stemonitis fusca nigrescens
d1c39c15-5acb-46b9-8baa-441535d02da6,infraspecies,Protozoa,t0087572,Stemonitis fusca violacea
09d60883-65ce-4268-b552-cdd044eb8e5d,infraspecies,Protozoa,t0087573,Stemonitis mussooriensis emotoi
1f2532d3-e652-4356-a5a7-c57300be535d,infraspecies,Protozoa,t0087569,Stemonitis axifera smithii
782e44fd-064d-4c28-8463-d98d9bf90ae0,infraspecies,Protozoa,t0087574,Stemonitopsis typhina similis
bcc88968-bd89-46b2-8968-eb2f7c0fd203,infraspecies,Protozoa,t0030743,Cribraria microcarpa pachydictyon
cb650ba8-0046-4adf-a42b-23ddddf7ce8b,infraspecies,Protozoa,t0030750,Cribraria vulgaris oregana
cff0f6de-de82-47a2-847c-952ac6481257,infraspecies,Protozoa,t0031023,Dictydium cancellatum fuscum
2d50c9bd-458f-4915-a406-31e58ab12999,infraspecies,Protozoa,t0087519,Ceratiomyxa fruticulosa descendens
b4bc8eac-aaa6-4e5d-86dc-4325822828ea,infraspecies,Protozoa,t0087520,Ceratiomyxa fruticulosa porioides
1bc8eef3-211f-4fa4-ab8e-05591648d8c6,infraspecies,Protozoa,t0030271,Ceratiomyxa fruticulosa fruticulosa
9c7de4d3-8a09-4f31-830c-32783aac1f32,infraspecies,Plantae,t0055139,Rubus croceacanthus glaber
e4f91b7e-ea7f-455f-8cee-601693054a1c,infraspecies,Plantae,t0054248,Lindernia dubia anagallidea
a80e5528-9554-4e6d-95e5-0d628fbde960,infraspecies,Plantae,t0058103,Juniperus chinensis taiwanensis
25e17bd9-9455-4f45-bde9-ca870ccc7698,infraspecies,Animalia,t0085764,Horornis canturians borealis
c27f7f5d-4482-43ac-b4f4-da45735e7c75,infraspecies,Animalia,t0085816,Latouchia formosensis smithi
6aea4758-bc1c-42f0-ae1e-077c13fc989f,infraspecies,Animalia,t0085235,Anas crecca carolinensis
c7e5ba9a-a9e4-419d-a51f-7f9366bcec83,infraspecies,Animalia,t0085435,Charadrius alexandrinus nihonensis
68bcb39a-e245-4103-a94e-7254eba8db86,infraspecies,Animalia,t0085893,Merops persicus persicus
efd00b02-94bc-4dc5-9ee2-57c86de0ceeb,infraspecies,Animalia,t0085801,Lanius isabellinus isabellinus
e7667af8-d7bf-44de-a23f-5f7c86333aa6,infraspecies,Animalia,t0085802,Lanius tephronotus tephronotus
cc2c77d7-0598-41cf-abf0-e9a6e2dada7f,infraspecies,Animalia,t0085173,Acrocephalus concinens concinens
a979f434-40d5-44b7-b409-830ae619ac28,infraspecies,Animalia,t0086111,Phylloscopus intermedius intermedius
c74356e2-4bcc-43b0-a5ee-33d3e9820637,infraspecies,Animalia,t0085938,Motacilla alba personata
8aacd5f2-f294-4e27-ba0a-3b42ad7e80a6,species,Animalia,t0081956,Ocrisiona frenata
3eb1f71f-4c4c-4384-9428-35a63c5e10d2,infraspecies,Bacteria,t0091537,Merismopedia elegans major
c30b6156-0d13-4084-93b0-cff76ad24e0b,infraspecies,Bacteria,t0091536,Lyngbya putealis putealis
f6d6b95b-cbd7-4ae2-8dca-c3b85183d2d7,infraspecies,Bacteria,t0091539,Oscillatoria tenuis asiatica
13c6e31d-46e6-4ff3-9b92-cc8769a9dc6b,infraspecies,Bacteria,t0091540,Oscillatoria tenuis tenuis
d93bfff1-9705-4ed1-96bc-9bd9a5c98ee5,infraspecies,Bacteria,t0091541,Oscillatoria tenuis tergestina
27529265-6ee2-42d7-9f78-46f98fd7c1fb,infraspecies,Plantae,t0058705,Pediastrum duplex gracillimum
5fa81ac2-33b1-4448-8255-6ba10e1dac5e,infraspecies,Plantae,t0086935,Pediastrum integrum integrum
e1c2ca0d-9fbd-4a1a-853b-a59487a73796,infraspecies,Plantae,t0086936,Pediastrum simplex duodenarium
