TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
a93e85dd-8367-4428-a2ae-fa68216d4816,infraspecies,Plantae,"",Carex grallatoria heteroclita,1,t0058727,accepted
a93e85dd-8367-4428-a2ae-fa68216d4816,infraspecies,Plantae,"",Carex grallatoria heteroclita,2,t0058727,not-accepted
74629838-deec-4237-bea7-6ffe30f80bb9,infraspecies,Plantae,"",Carex mitrata aristata,1,t0087361,accepted
74629838-deec-4237-bea7-6ffe30f80bb9,infraspecies,Plantae,"",Carex mitrata aristata,2,t0087361,not-accepted
b5fcc002-9d42-4231-a773-a9104e39a41e,infraspecies,Plantae,"",Carex tristachya pocilliformis,1,t0058731,accepted
b5fcc002-9d42-4231-a773-a9104e39a41e,infraspecies,Plantae,"",Carex tristachya pocilliformis,2,t0058731,not-accepted
e2e6e4dc-5f4f-40c4-ae3e-adbe2f1d9565,infraspecies,Plantae,"",Cyperus nutans subprolixus,1,t0085096,accepted
e2e6e4dc-5f4f-40c4-ae3e-adbe2f1d9565,infraspecies,Plantae,"",Cyperus nutans subprolixus,2,t0085096,not-accepted
ddb257c3-4838-4eeb-98a8-c267493d98e2,infraspecies,Plantae,"",Eleocharis congesta japonica,1,t0057314,accepted
ddb257c3-4838-4eeb-98a8-c267493d98e2,infraspecies,Plantae,"",Eleocharis congesta japonica,2,,
d61a8fdf-48b6-4696-b5ba-12d6843753c4,infraspecies,Plantae,"",Spodiopogon tainanensis hogoensis,1,t0055441,not-accepted
d61a8fdf-48b6-4696-b5ba-12d6843753c4,infraspecies,Plantae,"",Spodiopogon tainanensis hogoensis,2,,
510aee5c-3b37-4569-91fd-76a093fb3d98,infraspecies,Plantae,"",Spodiopogon tainanensis takeoi,1,t0055441,not-accepted
510aee5c-3b37-4569-91fd-76a093fb3d98,infraspecies,Plantae,"",Spodiopogon tainanensis takeoi,2,,
2f4d4a4a-a1b9-4d13-8db3-a3952a2d4364,infraspecies,Plantae,"",Clematis henryi morii,1,t0086692,accepted
2f4d4a4a-a1b9-4d13-8db3-a3952a2d4364,infraspecies,Plantae,"",Clematis henryi morii,2,,
1aaecb7a-8ce6-4590-b276-80e0f69398b7,infraspecies,Plantae,"",Clematis parviloba bartlettii,1,t0053052,accepted
1aaecb7a-8ce6-4590-b276-80e0f69398b7,infraspecies,Plantae,"",Clematis parviloba bartlettii,2,t0053052,not-accepted
