TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
b29987be-60b1-45e5-924d-4114c2e4589d,species,Animalia,t0072715,Australimoosella êmaoi,species,Animalia,Australimoosella emaoi,accepted,TRUE
e223daa5-5719-422e-8fc5-a11bdd54211e,species,Animalia,t0082564,Otocytherella êhêha,species,Animalia,Otocytherella eheha,accepted,TRUE
5163ddac-8295-4666-a1b2-248fdaa02a23,species,Animalia,t0083170,Parakrithe chiaohsuani,species,Animalia,Parakrithe chiaohsüani,accepted,TRUE
de82c2bf-23e2-4107-bb22-5405d56dc57b,species,Animalia,t0061148,Darwinula yuchanga,species,Animalia,Darwinula yüchanga,accepted,TRUE
0507c78f-ec91-4325-acda-2954c45164a3,species,Animalia,t0064812,Gouiecythere niluia,species,Animalia,Gouiecythere nilüia,accepted,TRUE
c9341fe8-52ff-4deb-8167-d01d56884fdf,species,Animalia,t0081679,Nipponocythere tianuae,species,Animalia,Nipponocythere tianüae,accepted,TRUE
550f9451-f34e-4e58-9396-cf7b0f0f28cc,species,Animalia,t0083358,Parasesarma affine,species,Animalia,Parasesarma continentale,accepted,TRUE
3361925a-e3ac-405f-a5f7-4d40ded7244e,species,Animalia,t0079949,Cyclodius granulosus,species,Animalia,Phymodius granulosus,accepted,TRUE
28de627e-7d5d-4e4c-801c-1ac0c7d891a2,species,Animalia,t0036651,Prionocrangon brevirostris,species,Animalia,Prionocrangon formosa,accepted,TRUE
6ac0699b-95ea-4a7d-a5e1-f5561fc1512e,species,Animalia,t0070593,Agononida soelae,species,Animalia,Munida soelae,accepted,TRUE
8465958f-4002-4bfa-9288-26f7f5b8526c,species,Animalia,t0046463,Synalpheus stimpsoni,species,Animalia,Synalpheus stimpsonii,accepted,TRUE
a769ca0e-caf1-4a9a-b4a1-81606f8e8b17,species,Animalia,t0066584,Kishinouyepenaeopsis cornuta,species,Animalia,Parapenaeopsis cornuta,accepted,TRUE
87da5b92-a2f6-4958-88ec-939cae94c00f,species,Animalia,t0065492,Heterocarpus hayashi,species,Animalia,Heterocarpus hayashii,accepted,TRUE
ef3ef472-da14-416c-8d9f-b4271c2b1656,species,Animalia,t0078013,Charybdis obtusifrons,species,Animalia,Goniosupradens obtusifrons,accepted,TRUE
9862ee1a-3fd2-4e8e-a3a6-796158c15d09,species,Animalia,t0033342,Thalamita demani,species,Animalia,Trierarchus demani,accepted,TRUE
8f4873b7-a2ed-4fe3-9e3e-5addd8c93538,species,Animalia,t0061813,Discoplax rotundum,species,Animalia,Tuerkayana rotundum,accepted,TRUE
a0d75f53-d849-49a2-81bc-efaa76b33a82,species,Animalia,t0079075,Conchodytes meleagrinea,species,Animalia,Conchodytes meleagrinae,accepted,TRUE
472c5733-a048-4d8e-b2b5-b84c5fd0e631,species,Animalia,t0065237,Heikea japonicum,species,Animalia,Heikeopsis japonica,accepted,TRUE
292249f6-369b-46ce-bbe5-7e9d02d7b592,species,Animalia,t0082939,Panulirus peniciliatus,species,Animalia,Panulirus penicillatus,accepted,TRUE
74ad851c-784c-4019-8825-fa48baf7c1cb,species,Animalia,t0037872,Rhynchocinetes hendersoni,species,Animalia,Cinetorhynchus hendersoni,accepted,TRUE
4edc369b-3993-4877-b031-c5bd04febdb9,species,Animalia,t0080306,Miyakea holoschista,species,Animalia,Miyakella holoschista,accepted,TRUE
c209c92e-4ebd-4d87-96c3-ea7e025fc14e,species,Animalia,t0046238,Totanus taiwanicus,species,Animalia,Tortanus taiwanicus,accepted,TRUE
2c31343a-7332-4a38-8124-d7be6d1ed89c,species,Animalia,t0047600,Totanus spinicaudatus,species,Animalia,Tortanus spinicaudatus,accepted,TRUE
fb2ac646-5754-4e70-9faf-cd545fee033e,species,Animalia,t0047601,Totanus vermiculus,species,Animalia,Tortanus vermiculus,accepted,TRUE
58c33ae0-c5c9-4212-995f-758db3923dd9,species,Animalia,t0047591,Totanus barbatus,species,Animalia,Tortanus barbatus,accepted,TRUE
d53c6ced-1cd2-4167-a26d-74b256ced1f8,species,Animalia,t0047595,Totanus forcipatus,species,Animalia,Tortanus forcipatus,accepted,TRUE
0fcb3c6c-fb8d-4f0c-ac42-28a00a708c68,species,Animalia,t0047596,Totanus gracilis,species,Animalia,Tortanus gracilis,accepted,TRUE
d62cadfe-a265-4f83-a4a9-1c6b4aeac149,species,Animalia,t0047592,Totanus denticulata,species,Animalia,Tortanus denticulata,accepted,TRUE
b34fe742-54ac-469c-8137-b6b10a5679d3,species,Animalia,t0078081,Cheloniba patulla,species,Animalia,Chelonibia testudinaria,accepted,TRUE
9699e96c-9310-44a1-b25a-b8f320b07f4b,species,Animalia,t0030108,Cantherhines multilineatus,species,Animalia,Thamnaconus multilineatus,accepted,TRUE
74854117-fa8b-4a4f-a113-e89d6581c7d9,species,Animalia,t0031390,Ostracion cubicus,species,Animalia,Ostracion cubicum,accepted,TRUE
5fd2b2a1-0f60-4943-bf68-c86dabe3324d,species,Animalia,t0030929,Dendrochirus bellus,species,Animalia,Neochirus bella,accepted,TRUE
0b80b00e-c140-4a92-b758-7774d27fc5b2,species,Animalia,t0030930,Dendrochirus biocellatus,species,Animalia,Nemapterois biocellatus,accepted,TRUE
522db6dc-7ba3-4bfd-bff8-6cd036111a7d,species,Animalia,t0052074,Neomerinthe rotunda,species,Animalia,Neomerinthe erostris,accepted,TRUE
f81ac2b6-0785-447d-9d2b-a6e6e8a056a4,species,Animalia,t0031576,Parapterois heterura,species,Animalia,Parapterois heterurus,accepted,TRUE
0233dc43-b5d4-48c1-b6da-4e51639f0a21,species,Animalia,t0032340,Pterois antennata,species,Animalia,Pteropterus antennatus,accepted,TRUE
d4cab5bd-bf57-4cc1-b122-70430eb6def0,species,Animalia,t0056003,Pterois radiata,species,Animalia,Pteropterus radiatus,accepted,TRUE
a11caee8-4ee6-4b3b-b8e4-925296309345,species,Animalia,t0056002,Pterois paucispinula,species,Animalia,Pteropterus paucispinula,accepted,TRUE
775bc755-bd87-4742-a61e-53a8abe4e81b,species,Animalia,t0056209,Scorpaena izensis,species,Animalia,Scorpaena neglecta,accepted,TRUE
