TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
105bbfb8-40e0-4546-ab05-837a805c87ad,infraspecies,Animalia,t0057862,Auxis rochei rochei rochei,subspecies,Animalia,Auxis rochei rochei,accepted,TRUE
8d3084b0-e151-400f-8725-586732735fba,infraspecies,Animalia,t0057863,Auxis thazard thazard thazard,subspecies,Animalia,Auxis thazard thazard,accepted,TRUE
9ad09141-4d73-4b31-950a-0336289fd732,infraspecies,Animalia,t0028000,Microphis brachyurus brachyurus brachyurus,subspecies,Animalia,Microphis brachyurus brachyurus,accepted,TRUE
b9af0d4d-76a2-4352-bf58-1003f2f2a47c,infraspecies,Animalia,t0030148,Carassius auratus auratus auratus,subspecies,Animalia,Carassius auratus auratus,accepted,TRUE
dc144689-0d47-4763-b98a-bc3a29f01386,infraspecies,Animalia,t0030862,Cyprinus carpio carpio carpio,subspecies,Animalia,Cyprinus carpio carpio,accepted,TRUE
1d3ea5e8-66ae-42db-8d80-a20f84ad82e8,infraspecies,Animalia,t0032499,Rhodeus ocellatus ocellatus ocellatus,subspecies,Animalia,Rhodeus ocellatus ocellatus,accepted,TRUE
37aec795-14b1-40a0-ae19-9995f8bc7983,infraspecies,Animalia,t0084657,Anguilla bicolor bicolor pacifica,subspecies,Animalia,Anguilla bicolor pacifica,accepted,TRUE
fa3e55a0-1995-4ad9-afaa-9df2c566a0f9,infraspecies,Animalia,t0084823,Hymenocephalus striatissimus striatissimus striatissimus,subspecies,Animalia,Hymenocephalus striatissimus striatissimus,accepted,TRUE
3f507d1c-8ff3-453e-8ce2-1b6637b5767e,infraspecies,Animalia,t0032711,Scopelogadus mizolepis mizolepis mizolepis,subspecies,Animalia,Scopelogadus mizolepis mizolepis,accepted,TRUE
ca2b07d8-03bc-42b2-b824-6f8bcae73e8c,infraspecies,Animalia,t0031978,Plecoglossus altivelis altivelis altivelis,subspecies,Animalia,Plecoglossus altivelis altivelis,accepted,TRUE
aadd267f-ab0c-49b8-a44b-3b6edfe5c95e,infraspecies,Animalia,t0085390,Carpodacus erythrinus erythrinus grebnitskii,subspecies,Animalia,Carpodacus erythrinus grebnitskii,accepted,TRUE
fbad454c-8781-4a8c-84a2-2b2e2471d666,infraspecies,Animalia,t0085391,Carpodacus roseus roseus roseus,subspecies,Animalia,Carpodacus roseus roseus,accepted,TRUE
7f8fd728-66a2-4db0-9b68-d800afb161f0,infraspecies,Animalia,t0030601,Coccothraustes coccothraustes coccothraustes japonicus,subspecies,Animalia,Coccothraustes coccothraustes japonicus,accepted,TRUE
03b42dc5-83f9-43fa-bd64-984da7636797,infraspecies,Animalia,t0085631,Eophona migratoria migratoria migratoria,subspecies,Animalia,Eophona migratoria migratoria,accepted,TRUE
6b7d2fc7-7a6c-44c8-a5da-ce38d891d894,infraspecies,Animalia,t0028921,Eophona personata personata personata,subspecies,Animalia,Eophona personata personata,accepted,TRUE
9fcacb86-3180-45e8-a673-b3750570a5ea,infraspecies,Animalia,t0085632,Eophona personata personata magnirostris,subspecies,Animalia,Eophona personata magnirostris,accepted,TRUE
018d7267-88f1-402f-830b-4630eb607d0e,infraspecies,Animalia,t0100976,Pyrrhula nipalensis nipalensis uchidai,subspecies,Animalia,Pyrrhula nipalensis uchidai,accepted,TRUE
