TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
fa69dbe5-09af-4798-882c-945fb93af592,subgenus,Animalia,t0101836,Nosodendron (Dendrodipnis),Dendrodipnis,accepted,TRUE
6150f909-e920-49e3-b1d5-8a64af5f6b86,subgenus,Animalia,t0102392,Armigeres (Armigeres),Armigeres,accepted,TRUE
074947ac-b8a0-4dc3-9cab-6213c769829c,subgenus,Animalia,t0102393,Armigeres (Leicesteria),Leicesteria,accepted,TRUE
3816ac02-e7f9-4696-8152-a64434e36c96,subgenus,Animalia,t0102394,Heizmannia (Heizmannia),Heizmannia,accepted,TRUE
70231410-c987-4354-8188-66e758a0b99d,subgenus,Animalia,t0102395,Heizmannia (Mattinglyia),Mattinglyia,accepted,TRUE
a914b011-e0c9-4685-b16c-e4e7669e960d,subgenus,Animalia,t0102717,Centropyge (Xiphypops),Xiphypops,accepted,FALSE
07ab5524-2e73-426b-bdbb-a3fef2dd03c7,subgenus,Animalia,t0103689,Sesapa (Nipponasura),Nipponasura,accepted,FALSE
cc799e62-13dc-42a2-b4fa-3d8494443ee4,subgenus,Animalia,t0106029,Gryllus (Gryllus),Gryllus,accepted,FALSE
2f2be88f-d113-4ae3-8cef-cff47cbee454,subgenus,Animalia,t0106030,Phaloria (Phaloria),Phaloria,accepted,TRUE
995de743-e938-4073-be1a-04f9e32332c2,subgenus,Animalia,t0106032,Teleogryllus (Teleogryllus),Teleogryllus,accepted,TRUE
504a3410-8894-41bb-8522-b1476becc035,subgenus,Animalia,t0106033,Modicogryllus (Modicogryllus),Modicogryllus,accepted,TRUE
e39ead94-5fc3-448b-a925-4008047f7331,subgenus,Animalia,t0106034,Teleogryllus (Macroteleogryllus),Macroteleogryllus,accepted,TRUE
e544be44-bf14-444a-91da-7b9a7f852efd,subgenus,Animalia,t0106035,Euscyrtus (Osus),Osus,accepted,TRUE
a1e55247-9a90-4ff1-a065-a70093955af7,subgenus,Animalia,t0106036,Mnesibulus (Mnesibulus),Mnesibulus,accepted,TRUE
a4d64601-fe07-49f7-926a-ef365bbc847d,subgenus,Animalia,t0106037,Pteronemobius (Pteronemobius),Pteronemobius,accepted,TRUE
2e21177a-cc0e-4289-bdd3-d9dc5e9c12f4,subgenus,Animalia,t0106038,Duolandrevus (Eulandrevus),Eulandrevus,accepted,TRUE
f28e52c5-7904-4ceb-bdf0-27283c531c0f,subgenus,Animalia,t0106039,Munda (Munda),Munda,accepted,TRUE
8cc9460a-9195-46fc-b7ac-9a50c8b37f2a,subgenus,Animalia,t0106040,Velarifictorus (Velarifictorus),Velarifictorus,accepted,TRUE
b1390186-c1e3-4536-b75a-78cce267eabe,subgenus,Animalia,t0106080,Myrmecophilus (Myrmecophilus),Myrmecophilus,accepted,TRUE
05bd8afb-a0d4-4c01-a5fc-e35151bf9430,subgenus,Animalia,t0106081,Myrmecophilus (Myrmophilina),Myrmophilina,accepted,TRUE
e561aa1f-ee07-4182-bbc5-810bbce8ea6b,subgenus,Animalia,t0106095,Diestrammena (Diestrammena),Diestrammena,accepted,TRUE
2c2e1d8e-b703-44c0-a7fc-0a9828359509,subgenus,Animalia,t0106797,Tipula (Formotipula),Formotipula,accepted,TRUE
e1955bd0-2c75-4dd1-b293-9b01f3f3c9fc,subgenus,Animalia,t0106995,Ammatho (Delineatia),Delineatia,accepted,FALSE
