taxonUUID,taxonRank,parentUUID,simplifiedScientificName,kingdom,class,TT_URL
8e3f985f-0f1d-433e-9db1-5139879085a4,genus,2583a47c-8d82-4cc1-b3dc-e909dfb43a1e,Bythites,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/8e3f985f-0f1d-433e-9db1-5139879085a4
44c99617-26ba-49c3-833b-38751511e7a9,genus,29258d69-cbc8-4f66-8426-2c8ee350740f,Cachura,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/44c99617-26ba-49c3-833b-38751511e7a9
5e4ad178-4c84-4c6b-b564-0f2ef8cbcfcc,genus,50583e36-4bb6-46ee-a6a6-ab5b65fbcf10,Cacoecia,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/5e4ad178-4c84-4c6b-b564-0f2ef8cbcfcc
45beb430-d351-4fe1-b9c8-29293521e3ff,genus,3061a2ae-7c51-4185-99cc-9513e10f8436,Cadicera,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/45beb430-d351-4fe1-b9c8-29293521e3ff
91bfced7-135a-4e54-ac12-f63033796c92,genus,fe1cb811-0ac3-46d5-857b-5748026bd123,Cadlina,Animalia,Gastropoda,https://vvtaxatree.tbn.org.tw/taxa/91bfced7-135a-4e54-ac12-f63033796c92
341526f0-ae26-4b33-82b8-a33f1ebbbfba,genus,63e7e423-5ec0-4e95-af80-f47f87a6096f,Caduga,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/341526f0-ae26-4b33-82b8-a33f1ebbbfba
7233f569-53ca-428f-9e09-27b70eb82117,genus,975b6843-473c-42e9-8646-24b96daada45,Caecula,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/7233f569-53ca-428f-9e09-27b70eb82117
76927330-65e0-4aa4-83e8-918058fb475d,genus,0f2c9a4f-e96d-4fa0-a3b0-03a19e671a75,Caesiomorus,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/76927330-65e0-4aa4-83e8-918058fb475d
d96a75ab-12a7-4156-acec-1792049ef437,genus,ebcdbf4d-2fb2-4246-805d-52a45d8b9bae,Caesioperca,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/d96a75ab-12a7-4156-acec-1792049ef437
7f41786f-f5a7-4150-960b-112e832189b5,genus,6f7a048c-68e9-417d-a8d1-0ade81f94fbe,Cahetodon,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/7f41786f-f5a7-4150-960b-112e832189b5
37f471c8-555a-4046-ba8c-87d29e121933,genus,ab4cb997-2a2e-4b06-8fd0-d5e5e82026e8,Calamanthella,Animalia,Aves,https://vvtaxatree.tbn.org.tw/taxa/37f471c8-555a-4046-ba8c-87d29e121933
3e39c545-43f3-4def-9fe4-24b692e92815,genus,e2ddf8e5-2d1f-4b8d-8878-04aac3cfbee0,Calamochrous,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/3e39c545-43f3-4def-9fe4-24b692e92815
22d3e3f6-7306-41ec-a8e0-93920c6124d4,genus,f1b3fb3e-7241-4db8-82ba-eb47c663330e,Calichodes,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/22d3e3f6-7306-41ec-a8e0-93920c6124d4
acc460dc-a571-456b-a6a0-65b3a0d2c7e5,genus,f1b3fb3e-7241-4db8-82ba-eb47c663330e,Callerinnys,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/acc460dc-a571-456b-a6a0-65b3a0d2c7e5
3134c872-e25a-47c1-893c-3b583f3ccddc,genus,8869f7eb-5e7e-4aba-87c0-df7af433de80,Callichroma,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/3134c872-e25a-47c1-893c-3b583f3ccddc
f400af66-2e59-4c09-9489-cdbb180665ba,genus,8869f7eb-5e7e-4aba-87c0-df7af433de80,Callidium,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/f400af66-2e59-4c09-9489-cdbb180665ba
91f58769-6cba-4fc0-bf4f-58d0f6c3a288,genus,d8e25335-c63f-470c-a940-27c5626d85e9,Callidryas,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/91f58769-6cba-4fc0-bf4f-58d0f6c3a288
ef4d0e15-ce70-4639-a6e6-eb7b664b4e72,genus,00ba932c-6b0d-4e1c-bba3-07cbf0f8b47f,Callimorpha,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/ef4d0e15-ce70-4639-a6e6-eb7b664b4e72
12be5225-81cb-4500-b54f-5a7eb28855fb,genus,5e1cab85-41db-4b04-a41a-534e90bb91e5,Callinethis,Animalia,Arachnida,https://vvtaxatree.tbn.org.tw/taxa/12be5225-81cb-4500-b54f-5a7eb28855fb
3b564a5e-2cef-4355-920d-0658fad29a8e,genus,ddb9016c-7499-4cd9-919e-6b436529c410,Calliophrys,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/3b564a5e-2cef-4355-920d-0658fad29a8e
bb1999fb-c07b-4d81-81cc-8a87f49c9c30,genus,63e7e423-5ec0-4e95-af80-f47f87a6096f,Calliploea,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/bb1999fb-c07b-4d81-81cc-8a87f49c9c30
9dd12d6a-3003-4c38-91ab-608b261ec58a,genus,3fc15de3-5824-44a2-b0a2-67eb100c99d7,Calliteuthis,Animalia,Cephalopoda,https://vvtaxatree.tbn.org.tw/taxa/9dd12d6a-3003-4c38-91ab-608b261ec58a
e5f2b36a-a612-49ec-9059-087704146489,genus,4bc81b13-f9ad-429f-bff7-7542274ad906,Callothrips,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/e5f2b36a-a612-49ec-9059-087704146489
4b0e9427-2370-424d-8f61-c3ee90b0ae9d,genus,5f91a112-50cd-4ab9-aa73-f3fbeb28a909,Callynomes,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/4b0e9427-2370-424d-8f61-c3ee90b0ae9d
4f7ddd03-7eb6-4929-9c32-0bbb6edf4907,genus,f3bf5931-0420-4d46-abce-46c1c7510233,Callyodon,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/4f7ddd03-7eb6-4929-9c32-0bbb6edf4907
509777e3-0302-409d-aead-7a3f11e553a5,genus,09aa61ad-6469-4f0e-9cab-dd289aed405e,Calocaris,Animalia,Malacostraca,https://vvtaxatree.tbn.org.tw/taxa/509777e3-0302-409d-aead-7a3f11e553a5
b791f341-8f3e-4352-bbf7-ae5fbd88842b,genus,30bad4b6-1506-4d5a-a91a-48e63ff37143,Caloptenus,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/b791f341-8f3e-4352-bbf7-ae5fbd88842b
81a2af1e-1195-4267-9d5c-417d96c2a1ae,genus,9dc21538-68da-4c7d-93a3-be127ff02b73,Calotheresia,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/81a2af1e-1195-4267-9d5c-417d96c2a1ae
891f5866-1445-47e6-a16a-a0cea04e2112,genus,f1b3fb3e-7241-4db8-82ba-eb47c663330e,Calothysanis,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/891f5866-1445-47e6-a16a-a0cea04e2112
03de244b-cb9d-4c87-8779-420964457521,genus,00ba932c-6b0d-4e1c-bba3-07cbf0f8b47f,Calpe,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/03de244b-cb9d-4c87-8779-420964457521
4cc2cf75-4768-4b63-9319-12d3ad867640,genus,00ba932c-6b0d-4e1c-bba3-07cbf0f8b47f,Calpenia,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/4cc2cf75-4768-4b63-9319-12d3ad867640
49448090-cfc6-4f46-a40b-4b1d9f95fe45,genus,c44fa586-2978-4721-9d36-366ebe66484f,Calymmichthys,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/49448090-cfc6-4f46-a40b-4b1d9f95fe45
14b24187-5263-41a6-9ae2-fefd0729e0fe,genus,63e7e423-5ec0-4e95-af80-f47f87a6096f,Calysisme,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/14b24187-5263-41a6-9ae2-fefd0729e0fe
a2c1fc07-7652-4f84-9e10-d24415c90849,genus,f1b3fb3e-7241-4db8-82ba-eb47c663330e,Cambogia,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/a2c1fc07-7652-4f84-9e10-d24415c90849
9168d0d1-beec-44e3-9042-87993444635d,genus,33707a96-948a-4d64-a2c0-b646b0232f20,Campodotecnum,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/9168d0d1-beec-44e3-9042-87993444635d
31258984-b5b9-4e8b-a0b2-a4d9f43ddfe5,genus,4bbd5018-4e6d-4df9-95b2-ce6261662650,Camptonyx,Animalia,Malacostraca,https://vvtaxatree.tbn.org.tw/taxa/31258984-b5b9-4e8b-a0b2-a4d9f43ddfe5
09386cce-a93a-4256-9ed3-91069fbe188a,genus,ed567a97-2f32-4907-a69d-8d30fa4a7bef,Canace,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/09386cce-a93a-4256-9ed3-91069fbe188a
bbff639e-eb6c-46b6-b55f-5a53048f4ad9,genus,0f0ae753-c82b-43ee-a961-c6a802a4cb65,Canopia,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/bbff639e-eb6c-46b6-b55f-5a53048f4ad9
a981bb17-ca0b-4c89-9875-06cab289a13a,genus,bb4338f8-1b4e-407c-a5e4-bb77b35996d3,Cantherines,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/a981bb17-ca0b-4c89-9875-06cab289a13a
1bd53fa7-a666-40a0-b9b8-7ffa1af4c0de,genus,f1b3fb3e-7241-4db8-82ba-eb47c663330e,Capasa,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/1bd53fa7-a666-40a0-b9b8-7ffa1af4c0de
0d83db3d-4b4b-4248-b7d0-318600a365a7,genus,b1b001ee-5540-46b7-80e0-192f6e15b7c5,Capitophoraphis,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/0d83db3d-4b4b-4248-b7d0-318600a365a7
e74d7d25-d8f5-49cc-8994-d88af3e21d13,genus,1ed70ea9-df64-4be8-979e-bdbfa8008b1c,Caprophonus,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/e74d7d25-d8f5-49cc-8994-d88af3e21d13
56518020-f26e-47f9-b19c-3a1b6a338701,genus,92504495-67e8-42e8-bb76-26cd5b0826f2,Caradrina,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/56518020-f26e-47f9-b19c-3a1b6a338701
b164d586-e8ff-4aab-8423-62411101c4c7,genus,78591ce4-ee4d-4ae1-966f-337237bdcb6e,Carapus,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/b164d586-e8ff-4aab-8423-62411101c4c7
53643407-2eec-4a9d-8283-ad3e67063aa2,genus,564b87d3-4e3f-4f11-9e9a-16c2eb247bab,Carbo,Animalia,Aves,https://vvtaxatree.tbn.org.tw/taxa/53643407-2eec-4a9d-8283-ad3e67063aa2
c0177faa-cbcd-4ef9-8bd4-7e2a11146192,genus,197dae47-aca7-4beb-a2ca-2d2399d2bde2,Carcharins,Animalia,Elasmobranchii,https://vvtaxatree.tbn.org.tw/taxa/c0177faa-cbcd-4ef9-8bd4-7e2a11146192
0a5dc7ab-3d08-4623-ba16-fa062dec52e0,genus,197dae47-aca7-4beb-a2ca-2d2399d2bde2,Carcharius,Animalia,Elasmobranchii,https://vvtaxatree.tbn.org.tw/taxa/0a5dc7ab-3d08-4623-ba16-fa062dec52e0
8769e2a9-baa5-4356-8a3e-7cf81fe5c0a0,genus,90e2cd58-9d9a-44b4-903b-e121d7fc327b,Carcinoptera,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/8769e2a9-baa5-4356-8a3e-7cf81fe5c0a0
ab341ff3-1c3d-461d-983e-052655405925,genus,90ab3438-5b02-4145-92fa-ffe62912e0bc,Cardiogaster,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/ab341ff3-1c3d-461d-983e-052655405925
b4edccaa-ced5-4ae8-9da6-6b87bda1a7c8,genus,d3e307a5-5320-4778-899c-ebb334acee07,Cardium,Animalia,Bivalvia,https://vvtaxatree.tbn.org.tw/taxa/b4edccaa-ced5-4ae8-9da6-6b87bda1a7c8
3079a4fe-009b-4c09-8dfb-bd12146ab1f0,genus,ddb9016c-7499-4cd9-919e-6b436529c410,Caricea,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/3079a4fe-009b-4c09-8dfb-bd12146ab1f0
5e7700b4-0c74-432b-99d1-4400716bf0ae,genus,4e5a35e9-7214-4ed8-afcb-d3b5c676a4b4,Caristioides,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/5e7700b4-0c74-432b-99d1-4400716bf0ae
ea7e6672-99b1-411c-9064-a6471700ef75,genus,00ba932c-6b0d-4e1c-bba3-07cbf0f8b47f,Carmara,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/ea7e6672-99b1-411c-9064-a6471700ef75
