taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,groupID,reason,check_column,filtered_values,TT_URL
f0e9e5b2-2379-4770-bc60-68e54fec9b5c,infraspecies,42d369c9-46a9-435a-b860-e69f87faf0a1,Animalia,Ateles geoffroyi geoffroyi frontatus,"",瀕臨絕種保育類野生動物,"","",42d369c9-46a9-435a-b860-e69f87faf0a1,保育等級不同,protectedStatusTW,珍貴稀有保育類野生動物;瀕臨絕種保育類野生動物,https://vvtaxatree.tbn.org.tw/taxa/f0e9e5b2-2379-4770-bc60-68e54fec9b5c
6383b34c-0991-4507-9d12-fea73bb447bf,infraspecies,42d369c9-46a9-435a-b860-e69f87faf0a1,Animalia,Ateles geoffroyi geoffroyi panamensis,"",瀕臨絕種保育類野生動物,"","",42d369c9-46a9-435a-b860-e69f87faf0a1,保育等級不同,protectedStatusTW,珍貴稀有保育類野生動物;瀕臨絕種保育類野生動物,https://vvtaxatree.tbn.org.tw/taxa/6383b34c-0991-4507-9d12-fea73bb447bf
42d369c9-46a9-435a-b860-e69f87faf0a1,species,c3bde7f1-1bfe-4d35-bd3f-18df3594ea8f,Animalia,Ateles geoffroyi,"",珍貴稀有保育類野生動物,"","瀕危（EN, Endangered）",42d369c9-46a9-435a-b860-e69f87faf0a1,IUCN紅皮書不同,categoryIUCN,"瀕危（EN, Endangered）;",https://vvtaxatree.tbn.org.tw/taxa/42d369c9-46a9-435a-b860-e69f87faf0a1
f0e9e5b2-2379-4770-bc60-68e54fec9b5c,infraspecies,42d369c9-46a9-435a-b860-e69f87faf0a1,Animalia,Ateles geoffroyi geoffroyi frontatus,"",瀕臨絕種保育類野生動物,"","",42d369c9-46a9-435a-b860-e69f87faf0a1,IUCN紅皮書不同,categoryIUCN,"瀕危（EN, Endangered）;",https://vvtaxatree.tbn.org.tw/taxa/f0e9e5b2-2379-4770-bc60-68e54fec9b5c
6383b34c-0991-4507-9d12-fea73bb447bf,infraspecies,42d369c9-46a9-435a-b860-e69f87faf0a1,Animalia,Ateles geoffroyi geoffroyi panamensis,"",瀕臨絕種保育類野生動物,"","",42d369c9-46a9-435a-b860-e69f87faf0a1,IUCN紅皮書不同,categoryIUCN,"瀕危（EN, Endangered）;",https://vvtaxatree.tbn.org.tw/taxa/6383b34c-0991-4507-9d12-fea73bb447bf
42e8a4d8-ad4a-42a8-a94a-3b033862896b,species,28455809-8d73-4b16-91c9-6ecef39d8d65,Plantae,Elaeocarpus sphaericus,原生 Native,"","","",42e8a4d8-ad4a-42a8-a94a-3b033862896b,國內紅皮書不同,categoryRedlistTW,";接近受脅（NT, Near Threatened）",https://vvtaxatree.tbn.org.tw/taxa/42e8a4d8-ad4a-42a8-a94a-3b033862896b
d4a15c10-bad7-455e-9029-e63504b80eef,infraspecies,42e8a4d8-ad4a-42a8-a94a-3b033862896b,Plantae,Elaeocarpus sphaericus hayatae,原生 Native,"","接近受脅（NT, Near Threatened）","",42e8a4d8-ad4a-42a8-a94a-3b033862896b,國內紅皮書不同,categoryRedlistTW,";接近受脅（NT, Near Threatened）",https://vvtaxatree.tbn.org.tw/taxa/d4a15c10-bad7-455e-9029-e63504b80eef
45e54b99-3a45-4def-b908-ac8229a02b72,species,26b8fe75-b0be-451e-b616-26c5600513bc,Plantae,Livistona chinensis,原生 Native,"","","",45e54b99-3a45-4def-b908-ac8229a02b72,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/45e54b99-3a45-4def-b908-ac8229a02b72
3a7e5ede-36f6-4c6b-8163-6ae8d5afe318,infraspecies,45e54b99-3a45-4def-b908-ac8229a02b72,Plantae,Livistona chinensis subglobosa,原生 Native,"","易危（VU, Vulnerable）","",45e54b99-3a45-4def-b908-ac8229a02b72,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/3a7e5ede-36f6-4c6b-8163-6ae8d5afe318
45fbed9c-3328-49f4-bc64-bbfbd8d94ce2,species,59a8e175-9433-45c7-ac2e-4e06d6668f06,Plantae,Bulbophyllum albociliatum,原生 Native,"","","",45fbed9c-3328-49f4-bc64-bbfbd8d94ce2,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/45fbed9c-3328-49f4-bc64-bbfbd8d94ce2
