taxonUUID,taxonRank,kingdom,taiCOLNameCode,tfNameCode,simplifiedScientificName,scientificName,reason,TT_URL
995cf61b-0534-4554-8c9e-ac7819ee6230,species,Animalia,t0047706,"",Trentepholia proba,Trentepholia proba,學名重複,https://vvtaxatree.tbn.org.tw/taxa/995cf61b-0534-4554-8c9e-ac7819ee6230
6aabdaae-b661-4521-b294-43838d59e555,species,Animalia,t0047707,"",Trentepholia pulchripennis,Trentepholia pulchripennis,學名重複,https://vvtaxatree.tbn.org.tw/taxa/6aabdaae-b661-4521-b294-43838d59e555
4dee6a98-e375-43d5-8b89-a03d0fafb026,species,Animalia,t0048345,"",Ula flavidibasis,Ula flavidibasis,學名重複,https://vvtaxatree.tbn.org.tw/taxa/4dee6a98-e375-43d5-8b89-a03d0fafb026
a15e3286-3b3e-4cc2-a1d6-768334ebe6cb,species,Animalia,t0048346,"",Ula fuscistigma,Ula fuscistigma,學名重複,https://vvtaxatree.tbn.org.tw/taxa/a15e3286-3b3e-4cc2-a1d6-768334ebe6cb
fcc58868-f399-4079-9612-750cb47e7549,species,Animalia,t0048347,"",Ula superelegans,Ula superelegans,學名重複,https://vvtaxatree.tbn.org.tw/taxa/fcc58868-f399-4079-9612-750cb47e7549
d0042c2f-7725-43d6-8a91-7cd850a10179,species,Animalia,t0084496,"",Pipunculus coatalis,Pipunculus coatalis,學名重複,https://vvtaxatree.tbn.org.tw/taxa/d0042c2f-7725-43d6-8a91-7cd850a10179
ece5bea1-9900-4bd7-a9c8-020cb3d9d2e7,species,Animalia,t0084495,"",Pipunculus bicolor,Pipunculus bicolor,學名重複,https://vvtaxatree.tbn.org.tw/taxa/ece5bea1-9900-4bd7-a9c8-020cb3d9d2e7
d8143ceb-e3df-4041-9da5-590ef03fb196,species,Animalia,t0084501,"",Pipunculus holosericeus,Pipunculus holosericeus,學名重複,https://vvtaxatree.tbn.org.tw/taxa/d8143ceb-e3df-4041-9da5-590ef03fb196
547f59aa-26b9-4765-85e1-582ba0cc74bc,species,Animalia,t0079111,"",Conops nubeculosus,Conops nubeculosus,學名重複,https://vvtaxatree.tbn.org.tw/taxa/547f59aa-26b9-4765-85e1-582ba0cc74bc
2bbf72b0-8047-4102-8351-a9560d8a8a4d,species,Animalia,t0061563,"",Dicranota delectata,Dicranota delectata,學名重複,https://vvtaxatree.tbn.org.tw/taxa/2bbf72b0-8047-4102-8351-a9560d8a8a4d
d9409858-79cb-4f83-beca-f18d26a21596,species,Animalia,t0061564,"",Dicranota fumicostata,Dicranota fumicostata,學名重複,https://vvtaxatree.tbn.org.tw/taxa/d9409858-79cb-4f83-beca-f18d26a21596
ba8b054b-1a68-4e37-8272-b729209f8507,species,Animalia,t0061566,"",Dicranota plana,Dicranota plana,學名重複,https://vvtaxatree.tbn.org.tw/taxa/ba8b054b-1a68-4e37-8272-b729209f8507
ce7499cf-33ad-47e8-8440-24f2bcbc7e22,species,Animalia,t0083640,"",Pedicia orophila,Pedicia orophila,學名重複,https://vvtaxatree.tbn.org.tw/taxa/ce7499cf-33ad-47e8-8440-24f2bcbc7e22
a05e481a-022c-49e8-90fc-40848c0062f2,species,Animalia,t0084489,"",Piophila contecta,Piophila contecta,學名重複,https://vvtaxatree.tbn.org.tw/taxa/a05e481a-022c-49e8-90fc-40848c0062f2
04f01575-8083-4438-824e-e2fecd1e05ad,species,Animalia,t0048860,"",Xenokeroplatus gozmanyi,Xenokeroplatus gozmanyi,學名重複,https://vvtaxatree.tbn.org.tw/taxa/04f01575-8083-4438-824e-e2fecd1e05ad
c83c1b6a-a7cb-4bea-a91b-18300fbaf6bc,species,Animalia,t0039006,"",Simulium tuenense,Simulium tuenense,學名重複,https://vvtaxatree.tbn.org.tw/taxa/c83c1b6a-a7cb-4bea-a91b-18300fbaf6bc
